n,p,lambda,rho,S
100000,5e-05,9.2,4,0.00437
100000,5e-05,6.7,4,0.00422
100000,5e-05,2.5,4,0.00427
100000,5e-05,1.1,4,0.99997
100000,5e-05,3.0,4,0.00391
100000,5e-05,6.3,4,0.00361
100000,5e-05,8.9,4,0.99999
100000,5e-05,3.3,4,0.00323
100000,5e-05,9.2,4,0.00455
100000,5e-05,7.0,4,0.00387
100000,5e-05,9.4,4,0.00438
100000,5e-05,8.1,4,0.00418
100000,5e-05,2.1,4,0.99999
100000,5e-05,9.5,4,0.00489
100000,5e-05,4.8,4,0.00336
100000,5e-05,3.2,4,0.00323
100000,5e-05,4.8,4,0.00307
100000,5e-05,1.7,4,0.01202
100000,5e-05,9.4,4,0.0046
100000,5e-05,8.9,4,0.00448
100000,5e-05,0.7,4,0.99968
100000,5e-05,4.0,4,0.00312
100000,5e-05,8.8,4,0.99999
100000,5e-05,6.4,4,0.0037
100000,5e-05,6.1,4,0.0036
100000,5e-05,1.0,4,0.99999
100000,5e-05,3.4,4,0.0033
100000,5e-05,8.4,4,0.00443
100000,5e-05,0.9,4,0.99997
100000,5e-05,9.9,4,0.00482
100000,5e-05,1.6,4,0.0159
100000,5e-05,9.5,4,0.00476
100000,5e-05,6.1,4,0.00365
100000,5e-05,1.1,4,0.99997
100000,5e-05,3.2,4,0.00311
100000,5e-05,5.5,4,0.00357
100000,5e-05,1.7,4,0.01245
100000,5e-05,4.4,4,0.00324
100000,5e-05,4.5,4,0.0037
100000,5e-05,0.1,4,0.99999
100000,5e-05,2.3,4,0.99999
100000,5e-05,0.7,4,0.99999
100000,5e-05,4.7,4,0.00333
100000,5e-05,7.3,4,0.00414
100000,5e-05,2.9,4,0.99999
100000,5e-05,3.7,4,0.00315
100000,5e-05,7.5,4,0.00443
100000,5e-05,2.7,4,0.00397
100000,5e-05,6.4,4,0.00371
100000,5e-05,1.8,4,0.01046
100000,5e-05,5.5,4,0.00359
100000,5e-05,4.9,4,0.00377
100000,5e-05,10.0,4,0.00469
100000,5e-05,0.6,4,0.99998
100000,5e-05,4.7,4,0.99999
100000,5e-05,2.2,4,0.00554
100000,5e-05,2.4,4,0.00494
100000,5e-05,8.6,4,0.00409
100000,5e-05,2.7,4,0.0041
100000,5e-05,1.4,4,0.02522
100000,5e-05,9.2,4,0.00406
100000,5e-05,3.0,4,0.99999
100000,5e-05,6.6,4,0.00361
100000,5e-05,8.7,4,0.00483
100000,5e-05,8.1,4,0.00414
100000,5e-05,6.9,4,0.00423
100000,5e-05,7.6,4,0.00415
100000,5e-05,5.1,4,0.00343
100000,5e-05,10.0,4,0.00499
100000,5e-05,0.3,4,0.99999
100000,5e-05,8.6,4,0.00448
100000,5e-05,0.8,4,0.99999
100000,5e-05,3.6,4,0.00322
100000,5e-05,5.4,4,0.00347
100000,5e-05,8.2,4,0.00435
100000,5e-05,0.5,4,0.99996
100000,5e-05,0.3,4,0.99998
100000,5e-05,5.1,4,0.00374
100000,5e-05,9.3,4,0.00448
100000,5e-05,5.5,4,0.00374
100000,5e-05,5.8,4,0.00364
100000,5e-05,4.6,4,0.99999
100000,5e-05,0.5,4,0.99988
100000,5e-05,5.9,4,0.00376
100000,5e-05,9.5,4,0.00425
100000,5e-05,6.8,4,0.00396
100000,5e-05,7.6,4,0.00423
100000,5e-05,8.9,4,0.00416
100000,5e-05,3.4,4,0.00328
100000,5e-05,9.1,4,0.00413
100000,5e-05,5.6,4,0.00351
100000,5e-05,0.1,4,0.99995
100000,5e-05,7.6,4,0.00404
100000,5e-05,1.0,4,0.99867
100000,5e-05,4.9,4,0.00365
100000,5e-05,6.8,4,0.00384
100000,5e-05,2.3,4,0.00506
100000,5e-05,8.2,4,0.00439
100000,5e-05,9.7,4,0.0045
100000,5e-05,0.6,4,0.99999
100000,5e-05,6.4,4,0.00376
100000,5e-05,7.5,4,0.00426
100000,5e-05,5.0,4,0.00325
100000,5e-05,6.5,4,0.00393
100000,5e-05,5.4,4,0.00353
100000,5e-05,4.4,4,0.99999
100000,5e-05,4.3,4,0.00302
100000,5e-05,3.4,4,0.00335
100000,5e-05,1.1,4,0.99997
100000,5e-05,2.5,4,0.99999
100000,5e-05,1.5,4,0.99999
100000,5e-05,7.5,4,0.00402
100000,5e-05,5.9,4,0.00407
100000,5e-05,5.3,4,0.00375
100000,5e-05,7.7,4,0.00439
100000,5e-05,5.3,4,0.00342
100000,5e-05,8.6,4,0.0044
100000,5e-05,2.6,4,0.00419
100000,5e-05,9.7,4,0.00459
100000,5e-05,7.6,4,0.00404
100000,5e-05,0.2,4,0.99999
100000,5e-05,8.9,4,0.00491
100000,5e-05,0.3,4,0.99999
100000,5e-05,6.4,4,0.00385
100000,5e-05,6.1,4,0.00427
100000,5e-05,7.4,4,0.00442
100000,5e-05,0.0,4,0.99999
100000,5e-05,1.6,4,0.01435
100000,5e-05,3.3,4,0.00325
100000,5e-05,3.1,4,0.00367
100000,5e-05,3.3,4,0.00332
100000,5e-05,1.7,4,0.01111
100000,5e-05,2.4,4,0.00466
100000,5e-05,9.6,4,0.00482
100000,5e-05,7.1,4,0.00421
100000,5e-05,7.7,4,0.00454
100000,5e-05,1.6,4,0.01486
100000,5e-05,2.7,4,0.00405
100000,5e-05,7.6,4,0.00427
100000,5e-05,9.1,4,0.00502
100000,5e-05,6.3,4,0.00332
100000,5e-05,6.9,4,0.00401
100000,5e-05,7.1,4,0.00429
100000,5e-05,6.4,4,0.00386
100000,5e-05,1.3,4,0.03252
100000,5e-05,3.2,4,0.00339
100000,5e-05,9.1,4,0.00499
100000,5e-05,2.7,4,0.00425
100000,5e-05,8.1,4,0.00443
100000,5e-05,7.4,4,0.00412
100000,5e-05,2.4,4,0.99995
100000,5e-05,7.9,4,0.00398
100000,5e-05,3.4,4,0.0035
100000,5e-05,2.9,4,0.00368
100000,5e-05,8.2,4,0.00433
100000,5e-05,2.8,4,0.99999
100000,5e-05,9.1,4,0.00463
100000,5e-05,7.7,4,0.00458
100000,5e-05,1.4,4,0.02454
100000,5e-05,3.5,4,0.00344
100000,5e-05,2.1,4,0.00597
100000,5e-05,2.7,4,0.99999
100000,5e-05,2.4,4,0.00476
100000,5e-05,5.0,4,0.00319
100000,5e-05,10.0,4,0.00474
100000,5e-05,1.6,4,0.01484
100000,5e-05,3.8,4,0.99999
100000,5e-05,4.3,4,0.00301
100000,5e-05,9.3,4,0.00451
