n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,2,3,9940,47,13,0.87984555562679,4.9943667639068785
10000,0.0005,2,3,9939,48,13,0.8814795425548946,4.9942655935615
10000,0.0005,2,3,9938,49,13,0.8829878381808373,4.993560720394897
10000,0.0005,2,3,9937,50,13,0.8844605922309109,4.993560072448809
10000,0.0005,2,3,9936,51,13,0.8858994411517742,4.99355942437342
10000,0.0005,2,3,9935,52,13,0.887296089196467,4.993458132044842
10000,0.0005,2,3,9935,52,13,0.8886084251544722,4.992853548062528
10000,0.0005,2,3,9934,53,13,0.8899294291174842,4.99295420231517
10000,0.0005,2,3,9933,54,13,0.8911984646504791,4.99265149989931
10000,0.0005,2,3,9932,55,13,0.8924500291060486,4.99275143461192
10000,0.0005,2,3,9932,55,13,0.8936548483831571,4.99244865082556
10000,0.0005,2,3,9932,55,13,0.8948669695952783,4.992549335481218
10000,0.0005,2,3,9932,55,13,0.8960864817904003,4.992650020136877
10000,0.0005,2,3,9931,56,13,0.897313475655431,4.9927507047925355
10000,0.0005,2,3,9931,56,13,0.8985025362975237,4.992548585237584
10000,0.0005,2,3,9931,55,14,0.8996987085463276,4.992649280031663
10000,0.0005,2,3,9931,55,14,0.9009035278234361,4.992649280031663
10000,0.0005,2,3,9931,55,14,0.9021156490355573,4.992749974825742
10000,0.0005,2,3,9931,55,14,0.9033351612306793,4.992850669619821
10000,0.0005,2,3,9931,55,14,0.9045621550957099,4.9929513644139
10000,0.0005,2,3,9931,55,14,0.9057967229969445,4.993052059207979
10000,0.0005,2,3,9931,55,14,0.9070389590217892,4.9931527540020575
10000,0.0005,2,3,9930,56,14,0.9082889590217892,4.993253448796136
10000,0.0005,2,3,9929,57,14,0.9095069858183787,4.993152064451317
10000,0.0005,2,3,9928,58,14,0.9106946342744358,4.9930506596838455
10000,0.0005,2,3,9927,59,14,0.9118467080071546,4.992848509266112
10000,0.0005,2,3,9927,59,14,0.9129652762398168,4.992646318122035
10000,0.0005,2,3,9927,59,14,0.9140901356323927,4.9927470534902225
10000,0.0005,2,3,9926,60,14,0.9152213573518497,4.992847788858411
10000,0.0005,2,3,9926,60,14,0.9163263297275404,4.992746322788538
10000,0.0005,2,3,9926,59,15,0.9174374408386514,4.9928470683053625
10000,0.0005,2,3,9926,58,16,0.9185560090713136,4.9928470683053625
10000,0.0005,2,3,9926,57,17,0.9197014844435931,4.9928470683053625
10000,0.0005,2,3,9926,57,17,0.9208548869810788,4.9928470683053625
10000,0.0005,2,3,9926,57,17,0.9220149797885033,4.9929478138221866
10000,0.0005,2,3,9926,57,17,0.9231818409320273,4.9930485593390115
10000,0.0005,2,3,9926,56,18,0.924355549852215,4.9931493048558355
10000,0.0005,2,3,9925,57,18,0.9255662036052417,4.9931493048558355
10000,0.0005,2,3,9925,57,18,0.9267196061427273,4.992644836271913
10000,0.0005,2,3,9925,57,18,0.9278796989501519,4.9927455919394195
10000,0.0005,2,3,9924,58,18,0.9290465600936758,4.992846347606926
10000,0.0005,2,3,9923,59,18,0.9301920354659553,4.992845626763752
10000,0.0005,2,3,9922,60,18,0.9313232571854123,4.992945681749977
10000,0.0005,2,3,9921,61,18,0.9324468526910303,4.993146543035845
10000,0.0005,2,3,9920,62,18,0.9335267662979417,4.992742667069845
10000,0.0005,2,3,9920,62,18,0.934577186466009,4.99254032258064
10000,0.0005,2,3,9919,63,18,0.9356331526750903,4.992641129032254
10000,0.0005,2,3,9918,64,18,0.9366715742742595,4.99264038713605
10000,0.0005,2,3,9918,64,18,0.9376826966200633,4.992437991530354
