n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,2,0,2474,5578,1948,1.4466539323450887,3.5818181818180816
10000,0.0005,2,0,2474,5577,1949,1.4467262284700164,3.5818181818180816
10000,0.0005,2,0,2473,5578,1949,1.4467985402785348,3.5818181818180816
10000,0.0005,2,0,2472,5579,1949,1.44687086777745,3.5818181818180816
10000,0.0005,2,0,2472,5578,1950,1.4469432109735725,3.5818181818180816
10000,0.0005,2,0,2471,5579,1950,1.4470155594036116,3.5818181818180816
10000,0.0005,2,0,2471,5578,1951,1.4470879340145981,3.5818181818180816
10000,0.0005,2,0,2470,5579,1951,1.4471603348254871,3.5818181818180816
10000,0.0005,2,0,2469,5580,1951,1.4472327408786332,3.5829959514170513
10000,0.0005,2,0,2469,5579,1952,1.4473051731544553,3.5829959514170513
10000,0.0005,2,0,2469,5578,1953,1.447377610677092,3.5829959514170513
10000,0.0005,2,0,2469,5577,1954,1.4474500534473034,3.5829959514170513
10000,0.0005,2,0,2469,5576,1955,1.447522511964802,3.5829959514170513
10000,0.0005,2,0,2468,5577,1955,1.4475949862364357,3.5829959514170513
10000,0.0005,2,0,2467,5578,1955,1.4476675078116044,3.5829959514170513
10000,0.0005,2,0,2466,5579,1955,1.4477400241277756,3.5829959514170513
10000,0.0005,2,0,2465,5580,1955,1.4478125351857118,3.5829959514170513
10000,0.0005,2,0,2464,5581,1955,1.4478850409861759,3.5829959514170513
10000,0.0005,2,0,2464,5580,1956,1.44795754152993,3.582792207792137
10000,0.0005,2,0,2463,5581,1956,1.448030047330394,3.582792207792137
10000,0.0005,2,0,2463,5580,1957,1.4481025373630145,3.582792207792137
10000,0.0005,2,0,2463,5579,1958,1.4481750431634786,3.582792207792137
10000,0.0005,2,0,2462,5580,1958,1.4482475647386472,3.582792207792137
10000,0.0005,2,0,2461,5581,1958,1.448320091573576,3.582792207792137
10000,0.0005,2,0,2460,5582,1958,1.448392644718755,3.582792207792137
10000,0.0005,2,0,2459,5583,1958,1.4484652031282745,3.582792207792137
10000,0.0005,2,0,2458,5584,1958,1.4485377773354013,3.582792207792137
10000,0.0005,2,0,2458,5583,1959,1.4486103673470156,3.582792207792137
10000,0.0005,2,0,2458,5582,1960,1.4486829626283224,3.581366965012134
10000,0.0005,2,0,2457,5583,1960,1.4487555737232978,3.581366965012134
10000,0.0005,2,0,2457,5582,1961,1.4488282111897028,3.581366965012134
10000,0.0005,2,0,2457,5581,1962,1.4489008539326929,3.581366965012134
10000,0.0005,2,0,2456,5582,1962,1.4489735019530343,3.581366965012134
