n,p,lambda,rho,s,i,r,t,mu,newmu
100000,5e-05,2,3,99964,33,3,0.5797613718143202,5.002750907802948,5
100000,5e-05,2,3,99963,34,3,0.5817298757513281,5.002750907802948,5
100000,5e-05,2,3,99963,34,3,0.583602534927358,5.002750907802948,5
100000,5e-05,2,3,99963,34,3,0.5854928940956,5.002750907802948,5
100000,5e-05,2,3,99963,34,3,0.5874012910421649,5.002721006769158,5
100000,5e-05,2,3,99963,34,3,0.589328073315768,5.002721006769158,5
100000,5e-05,2,3,99963,34,3,0.5912735986075968,5.002721006769158,5
100000,5e-05,2,3,99963,34,3,0.5932382351498364,5.002721006769158,5
100000,5e-05,2,3,99963,34,3,0.5952223621339634,5.002721006769158,5
100000,5e-05,2,3,99963,34,3,0.5972263701499955,5.002721006769158,5
100000,5e-05,2,3,99963,34,3,0.5992506616479711,5.002721006769158,5
100000,5e-05,2,3,99963,34,3,0.6012956514230222,5.002721006769158,5
100000,5e-05,2,3,99963,34,3,0.6033617671255016,5.002721006769158,5
100000,5e-05,2,3,99962,35,3,0.6054494497977354,5.002721006769158,5
100000,5e-05,2,3,99962,35,3,0.6073362422505656,5.002741041595195,5
100000,5e-05,2,3,99961,36,3,0.6092410041553274,5.002741041595195,5
100000,5e-05,2,3,99961,36,3,0.611142144839738,5.002741041595195,5
100000,5e-05,2,3,99960,37,3,0.6130615306362832,5.002741041595195,5
100000,5e-05,2,3,99960,36,4,0.6149237280292069,5.002741041595195,5
100000,5e-05,2,3,99959,37,4,0.6168069672005817,5.002741041595195,5
100000,5e-05,2,3,99958,38,4,0.6186022993370269,5.002741041595195,5
100000,5e-05,2,3,99958,38,4,0.6203324031432553,5.002741041595195,5
100000,5e-05,2,3,99957,39,4,0.6220776038413356,5.002741041595195,5
100000,5e-05,2,3,99956,40,4,0.6237332329804084,5.002741041595195,5
100000,5e-05,2,3,99956,39,5,0.6253332329804084,5.002731201727693,5
100000,5e-05,2,3,99955,40,5,0.6269487418657073,5.002731201727693,5
100000,5e-05,2,3,99955,40,5,0.6285360434530088,5.002731201727693,5
100000,5e-05,2,3,99954,41,5,0.6301360434530089,5.002731201727693,5
100000,5e-05,2,3,99953,42,5,0.6317083704970341,5.002731201727693,5
100000,5e-05,2,3,99953,42,5,0.6332304405122549,5.002731201727693,5
100000,5e-05,2,3,99953,42,5,0.6347641828435432,5.002731201727693,5
100000,5e-05,2,3,99953,42,5,0.636309777897639,5.002731201727693,5
100000,5e-05,2,3,99953,42,5,0.6378674102963928,5.002731201727693,5
100000,5e-05,2,3,99953,42,5,0.6394372690091087,5.002731201727693,5
100000,5e-05,2,3,99953,42,5,0.6410195474901214,5.002801316619152,5
100000,5e-05,2,3,99952,43,5,0.6426144438218598,5.002801316619152,5
100000,5e-05,2,3,99951,44,5,0.6442195802584569,5.002801316619152,5
