n,p,lambda,rho,S
100000,5e-05,1,9.8,0.99999
100000,5e-05,1,4.1,0.99986
100000,5e-05,1,2.2,0.22716
100000,5e-05,1,3.8,0.99999
100000,5e-05,1,3.7,0.99998
100000,5e-05,1,1.9,0.2023
100000,5e-05,1,4.8,0.99999
100000,5e-05,1,3.0,0.99999
100000,5e-05,1,5.3,0.99999
100000,5e-05,1,8.4,0.99998
100000,5e-05,1,5.2,0.99999
100000,5e-05,1,2.8,0.99998
100000,5e-05,1,7.8,0.99993
100000,5e-05,1,4.1,0.99999
100000,5e-05,1,9.1,0.99999
100000,5e-05,1,9.7,0.99999
100000,5e-05,1,6.2,0.99999
100000,5e-05,1,4.6,0.99999
100000,5e-05,1,8.9,0.99999
100000,5e-05,1,2.2,0.22073
100000,5e-05,1,5.7,0.99998
100000,5e-05,1,8.1,0.99997
100000,5e-05,1,4.1,0.99997
100000,5e-05,1,4.5,0.99998
100000,5e-05,1,4.6,0.99997
100000,5e-05,1,9.2,0.99999
100000,5e-05,1,5.4,0.99999
100000,5e-05,1,6.0,0.99999
100000,5e-05,1,8.3,0.99993
100000,5e-05,1,2.5,0.99998
100000,5e-05,1,2.4,0.99999
100000,5e-05,1,8.9,0.99999
100000,5e-05,1,7.6,0.99999
100000,5e-05,1,2.0,0.20854
100000,5e-05,1,8.4,0.99999
100000,5e-05,1,5.6,0.99999
100000,5e-05,1,2.3,0.99996
100000,5e-05,1,8.6,0.99999
100000,5e-05,1,1.9,0.99999
100000,5e-05,1,2.4,0.99999
100000,5e-05,1,0.8,0.13441
100000,5e-05,1,3.1,0.99999
100000,5e-05,1,5.1,0.99995
100000,5e-05,1,9.5,0.99999
100000,5e-05,1,6.4,0.99999
100000,5e-05,1,4.0,0.99999
100000,5e-05,1,1.0,0.13858
100000,5e-05,1,9.3,0.99998
100000,5e-05,1,3.2,0.99999
100000,5e-05,1,1.4,0.99999
100000,5e-05,1,5.6,0.99998
100000,5e-05,1,6.9,0.99997
100000,5e-05,1,2.3,0.99941
100000,5e-05,1,6.7,0.99998
100000,5e-05,1,8.0,0.99998
100000,5e-05,1,7.6,0.99995
100000,5e-05,1,6.0,0.99997
100000,5e-05,1,6.3,0.99999
100000,5e-05,1,6.8,0.99999
100000,5e-05,1,6.9,0.99999
100000,5e-05,1,7.6,0.9999
100000,5e-05,1,8.9,0.99988
100000,5e-05,1,3.7,0.99982
100000,5e-05,1,10.0,0.99999
100000,5e-05,1,0.6,0.12472
100000,5e-05,1,1.9,0.99998
100000,5e-05,1,9.9,0.99999
100000,5e-05,1,9.0,0.99998
100000,5e-05,1,4.9,0.99997
100000,5e-05,1,4.8,0.99999
100000,5e-05,1,2.9,0.99989
100000,5e-05,1,3.1,0.99977
100000,5e-05,1,9.4,0.99995
100000,5e-05,1,9.3,0.99998
100000,5e-05,1,4.7,0.99998
100000,5e-05,1,0.7,0.99999
100000,5e-05,1,1.8,0.99998
100000,5e-05,1,8.3,0.99998
100000,5e-05,1,9.5,0.99998
100000,5e-05,1,1.3,0.15137
100000,5e-05,1,9.3,0.99999
100000,5e-05,1,9.0,0.99999
100000,5e-05,1,6.5,0.99999
100000,5e-05,1,8.9,0.99999
100000,5e-05,1,9.7,0.99999
100000,5e-05,1,3.1,0.99998
100000,5e-05,1,4.2,0.99999
100000,5e-05,1,6.9,0.99999
100000,5e-05,1,7.1,0.99999
100000,5e-05,1,1.5,0.99989
100000,5e-05,1,0.6,0.12468
100000,5e-05,1,3.1,0.99992
100000,5e-05,1,9.3,0.99999
100000,5e-05,1,8.3,0.99999
