n,lambda,rho,prop,components
100,1,4,0.79,2
100,1,4,0.69,3
100,1,4,0.68,2
100,1,4,0.66,2
100,1,4,0.67,2
100,1,4,0.76,3
100,1,4,0.79,3
100,1,4,0.74,2
100,1,4,0.78,2
100,1,4,0.82,2
100,1,4,0.82,1
100,1,4,0.75,3
100,1,4,0.74,2
100,1,4,0.79,3
100,1,4,0.77,2
100,1,4,0.68,2
100,1,4,0.79,3
100,1,4,0.68,2
100,1,4,0.81,3
100,1,4,0.74,3
100,1,4,0.75,2
100,1,4,0.78,2
100,1,4,0.77,1
100,1,4,0.71,2
100,1,4,0.73,3
100,1,4,0.7,2
100,1,4,0.77,4
100,1,4,0.78,2
100,1,4,0.72,2
100,1,4,0.76,2
100,1,4,0.76,3
100,1,4,0.72,2
100,1,4,0.79,2
100,1,4,0.79,4
100,1,4,0.75,3
100,1,4,0.59,1
100,1,4,0.86,2
100,1,4,0.85,2
100,1,4,0.71,3
100,1,4,0.82,3
100,1,4,0.78,4
100,1,4,0.73,2
100,1,4,0.73,2
100,1,4,0.72,2
100,1,4,0.85,2
100,1,4,0.78,1
100,1,4,0.76,3
100,1,4,0.71,1
100,1,4,0.75,1
100,1,4,0.76,2
100,1,4,0.76,1
100,1,4,0.7,2
100,1,4,0.66,2
100,1,4,0.65,3
100,1,4,0.67,3
100,1,4,0.61,1
100,1,4,0.7,3
100,1,4,0.67,2
100,1,4,0.77,2
100,1,4,0.79,2
100,1,4,0.71,2
100,1,4,0.73,2
100,1,4,0.73,2
100,1,4,0.86,3
100,1,4,0.77,3
100,1,4,0.74,3
100,1,4,0.63,2
100,1,4,0.76,2
100,1,4,0.79,2
100,1,4,0.71,2
100,1,4,0.74,2
100,1,4,0.75,2
100,1,4,0.72,2
100,8,4,0.0,1
100,8,4,0.01,1
100,8,4,0.0,1
100,8,4,0.0,1
100,8,4,0.0,1
100,6,4,0.11,2
100,6,4,0.01,1
100,6,4,0.04,1
100,6,4,0.02,1
100,6,4,0.02,1
100,6,4,0.25,1
100,6,4,0.0,1
100,6,4,0.2,2
100,6,4,0.04,1
100,6,4,0.09,1
100,6,4,0.02,1
100,6,4,0.06,1
100,6,4,0.0,1
100,6,4,0.01,1
100,6,4,0.04,1
100,6,4,0.0,1
100,6,4,0.09,1
100,6,4,0.04,1
100,6,4,0.02,1
100,6,4,0.02,1
100,6,4,0.01,1
100,6,4,0.0,1
100,6,4,0.0,1
100,6,4,0.0,1
100,6,4,0.0,1
100,6,4,0.09,1
100,6,4,0.0,1
100,6,4,0.05,2
100,6,4,0.03,1
100,6,4,0.01,1
100,6,4,0.01,1
100,6,4,0.0,1
100,6,4,0.0,1
