n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,2,0,9724,10242,32,0.027793050758365176,5.935014830640073
10000,0.0005,2,0,9723,10243,32,0.027874857041087688,5.935068976243394
10000,0.0005,2,0,9722,10244,32,0.02795664325193254,5.935128518974517
10000,0.0005,2,0,9721,10245,32,0.028038409400746932,5.935188066637211
10000,0.0005,2,0,9720,10246,32,0.028120128776410902,5.935120443180231
10000,0.0005,2,0,9719,10247,32,0.028201801432405676,5.935135808104424
10000,0.0005,2,0,9718,10248,32,0.02828344074990098,5.935028014110411
10000,0.0005,2,0,9717,10249,32,0.02836495362893587,5.935056039851347
10000,0.0005,2,0,9716,10250,32,0.028446393485601722,5.9351517416042325
10000,0.0005,2,0,9715,10251,32,0.028527773693935055,5.935165770519496
10000,0.0005,2,0,9714,10252,32,0.028609134038902917,5.935017750745482
10000,0.0005,2,0,9713,10253,32,0.02869039521231426,5.935173072529257
10000,0.0005,2,0,9712,10254,32,0.0287715442831574,5.935119418483986
10000,0.0005,2,0,9711,10255,32,0.028852581560304888,5.935418873721919
10000,0.0005,2,0,9711,10254,33,0.028933559777164553,5.935453714478337
10000,0.0005,2,0,9710,10255,33,0.02901464962471564,5.935453714478337
10000,0.0005,2,0,9709,10256,33,0.02909564095864291,5.9355260970751305
10000,0.0005,2,0,9708,10257,33,0.029176534018018417,5.935556940977057
10000,0.0005,2,0,9707,10258,33,0.029257368227055682,5.935569688654246
10000,0.0005,2,0,9706,10259,33,0.029338156722773893,5.93560590313918
10000,0.0005,2,0,9705,10260,33,0.02941893869223831,5.935583778503718
10000,0.0005,2,0,9704,10261,33,0.029499675007432884,5.935661573640342
10000,0.0005,2,0,9703,10262,33,0.029580339684370852,5.935757500155543
10000,0.0005,2,0,9702,10263,33,0.0296609328500704,5.935770278417543
10000,0.0005,2,0,9701,10264,33,0.029741493552559724,5.93584811495315
10000,0.0005,2,0,9700,10265,33,0.029821982927962173,5.935840109810491
10000,0.0005,2,0,9699,10266,33,0.02990243992369795,5.9358361064883285
10000,0.0005,2,0,9699,10265,34,0.02998278702316766,5.935761685838124
10000,0.0005,2,0,9699,10264,35,0.030063205197675098,5.935761685838124
10000,0.0005,2,0,9698,10265,35,0.030143694573077546,5.935761685838124
10000,0.0005,2,0,9697,10266,35,0.030224164517553283,5.93567579937212
10000,0.0005,2,0,9696,10267,35,0.030304602097990862,5.935713394083992
10000,0.0005,2,0,9695,10268,35,0.03038494274232283,5.935536227058415
10000,0.0005,2,0,9694,10269,35,0.03046518668390524,5.935504682622393
10000,0.0005,2,0,9693,10270,35,0.03054538557716051,5.935520126544207
10000,0.0005,2,0,9692,10271,35,0.030625526625405422,5.935471784516902
10000,0.0005,2,0,9691,10272,35,0.030705609912023504,5.935506703306161
10000,0.0005,2,0,9690,10273,35,0.030785661144812487,5.935544313284224
10000,0.0005,2,0,9690,10272,36,0.030865680349421592,5.935623568599943
10000,0.0005,2,0,9690,10271,37,0.030945731582210576,5.935623568599943
10000,0.0005,2,0,9689,10272,37,0.031025827697548983,5.935623568599943
10000,0.0005,2,0,9688,10273,37,0.03110584049959731,5.935572538155487
10000,0.0005,2,0,9688,10272,38,0.031185821304204206,5.935568513119076
10000,0.0005,2,0,9687,10273,38,0.03126584691239883,5.935568513119076
10000,0.0005,2,0,9686,10274,38,0.03134584051291079,5.935606139491613
10000,0.0005,2,0,9686,10273,39,0.031425802131333946,5.935602116049218
10000,0.0005,2,0,9685,10274,39,0.03150580853184599,5.935602116049218
10000,0.0005,2,0,9684,10275,39,0.03158575736459303,5.935845362329237
10000,0.0005,2,0,9683,10276,39,0.03166566147965495,5.935944172481688
10000,0.0005,2,0,9682,10277,39,0.03174552092702758,5.935938834608029
10000,0.0005,2,0,9682,10276,40,0.0318253484994711,5.935893162214509
10000,0.0005,2,0,9681,10277,40,0.031905258999710834,5.935893162214509
10000,0.0005,2,0,9680,10278,40,0.03198512482512414,5.935929491185789
10000,0.0005,2,0,9679,10279,40,0.032064946025635,5.935840800166182
10000,0.0005,2,0,9678,10280,40,0.03214469720196485,5.9359161387123835
10000,0.0005,2,0,9677,10281,40,0.032224391177100326,5.935971987745314
10000,0.0005,2,0,9676,10282,40,0.032304066103401016,5.936031848594275
10000,0.0005,2,0,9675,10283,40,0.032383709301871864,5.936111226914004
10000,0.0005,2,0,9674,10284,40,0.03246332079777187,5.936190615163229
10000,0.0005,2,0,9673,10285,40,0.03254286263677919,5.936140936099096
10000,0.0005,2,0,9672,10286,40,0.032622309685321337,5.936088579348862
10000,0.0005,2,0,9671,10287,40,0.03270167476468642,5.936016684046095
10000,0.0005,2,0,9670,10288,40,0.03278102095210211,5.936034871112936
10000,0.0005,2,0,9669,10289,40,0.0328603356729143,5.9359682970099295
10000,0.0005,2,0,9668,10290,40,0.032939593816688574,5.935899040467415
10000,0.0005,2,0,9667,10291,40,0.03301882056363834,5.935874168182293
10000,0.0005,2,0,9667,10290,41,0.03309802848443042,5.935934077396457
10000,0.0005,2,0,9666,10291,41,0.033177280346849185,5.935934077396457
10000,0.0005,2,0,9665,10292,41,0.03325646318001096,5.93596778568328
10000,0.0005,2,0,9664,10293,41,0.03333556458801602,5.936021034179684
10000,0.0005,2,0,9663,10294,41,0.03341462222103049,5.9361826453514785
10000,0.0005,2,0,9662,10295,41,0.03349362364305609,5.936217727966744
10000,0.0005,2,0,9661,10296,41,0.03357256893396948,5.9360649578354
10000,0.0005,2,0,9661,10295,42,0.033651458173477214,5.9359121558144095
10000,0.0005,2,0,9660,10296,42,0.03373039100164045,5.9359121558144095
10000,0.0005,2,0,9659,10297,42,0.033809218055085195,5.935983630518047
10000,0.0005,2,0,9658,10298,42,0.033887989224837066,5.935872538579069
10000,0.0005,2,0,9657,10299,42,0.033966716984245034,5.935825415057476
10000,0.0005,2,0,9656,10300,42,0.03404537662398388,5.935859144930467
10000,0.0005,2,0,9655,10301,42,0.03412401770608517,5.935898239238155
10000,0.0005,2,0,9654,10302,42,0.034202590818366144,5.9359528733464195
10000,0.0005,2,0,9653,10303,42,0.03428110840630584,5.935987966406597
10000,0.0005,2,0,9652,10304,42,0.03435957054832232,5.935918597606227
10000,0.0005,2,0,9651,10305,42,0.034437952739888394,5.9357838425209195
10000,0.0005,2,0,9650,10306,42,0.03451630422464903,5.93573802010439
10000,0.0005,2,0,9649,10307,42,0.034594625026654044,5.9357548904873045
10000,0.0005,2,0,9648,10308,42,0.034672890660214346,5.935872246140228
10000,0.0005,2,0,9647,10309,42,0.03475108897113083,5.935906012212554
10000,0.0005,2,0,9646,10310,42,0.03482926894142244,5.935736087300628
10000,0.0005,2,0,9645,10311,42,0.034907393941422435,5.935729369207131
10000,0.0005,2,0,9644,10312,42,0.03498546404837848,5.935827199730783
10000,0.0005,2,0,9643,10313,42,0.035063479339375515,5.935799577574281
10000,0.0005,2,0,9642,10314,42,0.035141476375488145,5.93588054457879
10000,0.0005,2,0,9641,10315,42,0.03521947949561295,5.93588054457879
10000,0.0005,2,0,9640,10316,42,0.03529741574376197,5.936144401913646
10000,0.0005,2,0,9639,10317,42,0.03537534591832556,5.93614306630324
10000,0.0005,2,0,9638,10318,42,0.035453209345873635,5.936155970211186
10000,0.0005,2,0,9637,10319,42,0.03553101824721195,5.936337580284504
10000,0.0005,2,0,9636,10320,42,0.03560879688919686,5.936333584400275
10000,0.0005,2,0,9635,10321,42,0.03568647282519189,5.936363446128783
10000,0.0005,2,0,9634,10322,42,0.0357640944971627,5.936461428990657
10000,0.0005,2,0,9633,10323,42,0.03584162589737979,5.936407594247921
10000,0.0005,2,0,9632,10324,42,0.03591907923174584,5.936313200043597
10000,0.0005,2,0,9631,10325,42,0.035996502582628466,5.936309199783389
10000,0.0005,2,0,9630,10326,42,0.036073895973232906,5.936368014406059
10000,0.0005,2,0,9629,10327,42,0.03615123549372788,5.936319470620397
10000,0.0005,2,0,9628,10328,42,0.036228509274733985,5.936332411829322
10000,0.0005,2,0,9628,10327,43,0.036305729351954065,5.936261572617764
10000,0.0005,2,0,9627,10328,43,0.03638300313296017,5.936261572617764
10000,0.0005,2,0,9626,10329,43,0.0364602590044064,5.936300795978227
10000,0.0005,2,0,9625,10330,43,0.036537461196948666,5.9364407667312005
10000,0.0005,2,0,9624,10331,43,0.0366146097851295,5.936559815629628
10000,0.0005,2,0,9624,10330,44,0.036691609862129576,5.936500618228158
10000,0.0005,2,0,9623,10331,44,0.036768663337241304,5.936500618228158
10000,0.0005,2,0,9622,10332,44,0.03684571087557245,5.936436415458336
10000,0.0005,2,0,9621,10333,44,0.03692268131892221,5.936448049633423
10000,0.0005,2,0,9620,10334,44,0.03699962215142202,5.936318282814869
10000,0.0005,2,0,9619,10335,44,0.0370764979201797,5.936352201259316
10000,0.0005,2,0,9618,10336,44,0.037153320536758024,5.936240696090309
10000,0.0005,2,0,9617,10337,44,0.03723007828929103,5.936148797415748
10000,0.0005,2,0,9616,10338,44,0.03730680659436277,5.936060898376176
10000,0.0005,2,0,9616,10337,45,0.03738348195090318,5.9360961389192335
10000,0.0005,2,0,9615,10338,45,0.03746023381213581,5.9360961389192335
10000,0.0005,2,0,9615,10337,46,0.03753695623042644,5.936176014094956
10000,0.0005,2,0,9614,10338,46,0.037613767045389185,5.936176014094956
10000,0.0005,2,0,9613,10339,46,0.03769053658323657,5.936317489614122
10000,0.0005,2,0,9612,10340,46,0.03776720606111742,5.936620161544958
10000,0.0005,2,0,9611,10341,46,0.037843846159216744,5.9367630397387705
10000,0.0005,2,0,9611,10340,47,0.03792044516342969,5.936757732173718
10000,0.0005,2,0,9610,10341,47,0.03799713227999411,5.936757732173718
10000,0.0005,2,0,9609,10342,47,0.038073754761030046,5.936728783682612
10000,0.0005,2,0,9608,10343,47,0.038150324439437396,5.936617205699943
10000,0.0005,2,0,9607,10344,47,0.03822685309942056,5.936695841991686
10000,0.0005,2,0,9606,10345,47,0.03830331739059658,5.936833487277832
10000,0.0005,2,0,9605,10346,47,0.03837976414543184,5.936871496650804
10000,0.0005,2,0,9604,10347,47,0.03845615833947309,5.936843873354379
10000,0.0005,2,0,9603,10348,47,0.038532465092620746,5.936749265015526
10000,0.0005,2,0,9602,10349,47,0.03860874274326911,5.936745280042898
10000,0.0005,2,0,9601,10350,47,0.03868497968769238,5.936802973977902
10000,0.0005,2,0,9600,10351,47,0.03876115275289652,5.937003739024059
10000,0.0005,2,0,9599,10352,47,0.03883729681746669,5.936894733525185
10000,0.0005,2,0,9598,10353,47,0.03891340031822773,5.936784386225852
10000,0.0005,2,0,9597,10354,47,0.03898946329837529,5.936863115869778
10000,0.0005,2,0,9596,10355,47,0.03906548580103608,5.936815784494453
10000,0.0005,2,0,9595,10356,47,0.03914144478318572,5.9366396973841615
10000,0.0005,2,0,9594,10357,47,0.0392173518729079,5.9367591424961335
10000,0.0005,2,0,9593,10358,47,0.039293230164128785,5.936881266157206
10000,0.0005,2,0,9592,10359,47,0.039369068174139404,5.936875959053804
10000,0.0005,2,0,9592,10358,48,0.03944486594568492,5.936743188695728
10000,0.0005,2,0,9591,10359,48,0.03952073847982756,5.936743188695728
10000,0.0005,2,0,9590,10360,48,0.03959658224167815,5.936802270574725
10000,0.0005,2,0,9589,10361,48,0.039672316867549094,5.936831037745192
