n,p,lambda,rho,s,i,r,mu,t
10000,0.0005,1.0084,4,0.9995,0.0019,-0.0014,4.986569108950805,1.212408792642332
10000,0.0005,1.0084,4,0.9995,0.0019,-0.0014,4.986569108950805,1.2155823155119925
10000,0.0005,1.0084,4,0.9995,0.0019,-0.0014,4.986569108950805,1.2192022657122363
10000,0.0005,1.0084,4,0.9995,0.0019,-0.0014,4.986569108950805,1.24189212226369
10000,0.0005,1.0084,4,0.9995,0.002,-0.0015,4.986569108950805,1.244242600795954
10000,0.0005,1.0084,4,0.9995,0.002,-0.0015,4.986569108950805,1.2443633406590877
10000,0.0005,1.0084,4,0.9995,0.0021,-0.0016,4.986569108950805,1.2459030977311383
10000,0.0005,1.0084,4,0.9995,0.0021,-0.0016,4.986569108950805,1.2479584880650219
10000,0.0005,1.0084,4,0.9995,0.0021,-0.0016,4.986569108950805,1.249699226809014
10000,0.0005,1.0084,4,0.9995,0.0021,-0.0016,4.986765590535574,1.2498696306206116
10000,0.0005,1.0084,4,0.9995,0.0021,-0.0016,4.986765590535574,1.2557814751801766
10000,0.0005,1.0084,4,0.9995,0.0021,-0.0016,4.986765590535574,1.2652934373159728
10000,0.0005,1.0084,4,0.9995,0.0021,-0.0016,4.986765590535574,1.2735994971020013
10000,0.0005,1.0084,4,0.9995,0.0021,-0.0016,4.986765590535574,1.2855698397870001
10000,0.0005,1.0084,4,0.9995,0.0021,-0.0016,4.986765590535574,1.2946494360692409
10000,0.0005,1.0084,4,0.9995,0.0021,-0.0016,4.986765590535574,1.299970472968312
10000,0.0005,1.0084,4,0.9995,0.0021,-0.0016,4.986765590535574,1.3172739706118592
10000,0.0005,1.0084,4,0.9995,0.0021,-0.0016,4.986765590535574,1.3211966456166728
10000,0.0005,1.0084,4,0.9995,0.0021,-0.0016,4.986765590535574,1.3492361480716737
10000,0.0005,1.0084,4,0.9995,0.0022,-0.0017,4.9873658878979805,1.354440711304083
10000,0.0005,1.0084,4,0.9994,0.0021,-0.0015,4.9873658878979805,1.3552014460186255
10000,0.0005,1.0084,4,0.9994,0.0022,-0.0016,4.9873658878979805,1.3599059109094118
10000,0.0005,1.0084,4,0.9994,0.0022,-0.0016,4.9873658878979805,1.363229475991222
10000,0.0005,1.0084,4,0.9993,0.0021,-0.0014,4.9873658878979805,1.3632604066738125
10000,0.0005,1.0084,4,0.9993,0.0021,-0.0014,4.9873658878979805,1.3713137585133206
10000,0.0005,1.0084,4,0.9993,0.0021,-0.0014,4.9873658878979805,1.373964388159803
10000,0.0005,1.0084,4,0.9993,0.0022,-0.0015,4.9873658878979805,1.3839206061372111
10000,0.0005,1.0084,4,0.9993,0.0022,-0.0015,4.9873658878979805,1.3888263401022423
10000,0.0005,1.0084,4,0.9993,0.0022,-0.0015,4.9873658878979805,1.3925026534409113
10000,0.0005,1.0084,4,0.9993,0.0022,-0.0015,4.988366262159831,1.3934667823781781
10000,0.0005,1.0084,4,0.9993,0.0022,-0.0015,4.988366262159831,1.3959308482270134
10000,0.0005,1.0084,4,0.9993,0.0023,-0.0016,4.988366262159831,1.4179855807979567
10000,0.0005,1.0084,4,0.9993,0.0023,-0.0016,4.988366262159831,1.4204971278738634
10000,0.0005,1.0084,4,0.9993,0.0023,-0.0016,4.988366262159831,1.42186938620274
10000,0.0005,1.0084,4,0.9993,0.0023,-0.0016,4.988366262159831,1.4318168473654822
10000,0.0005,1.0084,4,0.9993,0.0023,-0.0016,4.988366262159831,1.4344564117456227
10000,0.0005,1.0084,4,0.9993,0.0023,-0.0016,4.988366262159831,1.4439407870768395
10000,0.0005,1.0084,4,0.9993,0.0023,-0.0016,4.988366262159831,1.4447609816542935
10000,0.0005,1.0084,4,0.9993,0.0024,-0.0017,4.988366262159831,1.446813220866285
10000,0.0005,1.0084,4,0.9993,0.0024,-0.0017,4.988865482997493,1.4499312881592021
10000,0.0005,1.0084,4,0.9993,0.0024,-0.0017,4.988865482997493,1.4508995271044771
10000,0.0005,1.0084,4,0.9993,0.0024,-0.0017,4.988865482997493,1.453770306548602
10000,0.0005,1.0084,4,0.9993,0.0024,-0.0017,4.988865482997493,1.4567747129751942
10000,0.0005,1.0084,4,0.9993,0.0025,-0.0018,4.988865482997493,1.4624003146853817
10000,0.0005,1.0084,4,0.9993,0.0025,-0.0018,4.988865482997493,1.4651460534100504
10000,0.0005,1.0084,4,0.9993,0.0026,-0.0019,4.988865482997493,1.4760191274199415
10000,0.0005,1.0084,4,0.9993,0.0026,-0.0019,4.988865482997493,1.4795377883130485
10000,0.0005,1.0084,4,0.9993,0.0027,-0.002,4.988865482997493,1.4912366145277896
10000,0.0005,1.0084,4,0.9993,0.0028,-0.0021,4.988865482997493,1.5013975299360265
10000,0.0005,1.0084,4,0.9993,0.0028,-0.0021,4.988861013547459,1.502329584810492
10000,0.0005,1.0084,4,0.9993,0.0029,-0.0022,4.988861013547459,1.5056654668291816
10000,0.0005,1.0084,4,0.9993,0.003,-0.0023,4.988861013547459,1.5067900046637597
10000,0.0005,1.0084,4,0.9993,0.003,-0.0023,4.988861013547459,1.5113642413466135
10000,0.0005,1.0084,4,0.9993,0.003,-0.0023,4.988861013547459,1.514567345043769
10000,0.0005,1.0084,4,0.9993,0.003,-0.0023,4.988861013547459,1.517655175248159
10000,0.0005,1.0084,4,0.9993,0.003,-0.0023,4.988861013547459,1.5307557859249135
10000,0.0005,1.0084,4,0.9993,0.003,-0.0023,4.988861013547459,1.5334529373882748
10000,0.0005,1.0084,4,0.9993,0.003,-0.0023,4.988861013547459,1.5336994959342665
10000,0.0005,1.0084,4,0.9993,0.003,-0.0023,4.988861013547459,1.5339162945013285
10000,0.0005,1.0084,4,0.9993,0.003,-0.0023,4.988959148851346,1.5376017854144586
10000,0.0005,1.0084,4,0.9993,0.003,-0.0023,4.988959148851346,1.544121662478189
10000,0.0005,1.0084,4,0.9993,0.003,-0.0023,4.988959148851346,1.5457332061136182
10000,0.0005,1.0084,4,0.9993,0.003,-0.0023,4.988959148851346,1.552660383638928
10000,0.0005,1.0084,4,0.9993,0.003,-0.0023,4.988959148851346,1.5598792317180081
10000,0.0005,1.0084,4,0.9993,0.0031,-0.0024,4.988959148851346,1.5666290895605968
10000,0.0005,1.0084,4,0.9993,0.0031,-0.0024,4.988959148851346,1.5689142379940053
10000,0.0005,1.0084,4,0.9993,0.0031,-0.0024,4.988959148851346,1.5722376073900142
10000,0.0005,1.0084,4,0.9993,0.0031,-0.0024,4.988959148851346,1.5788858310801874
10000,0.0005,1.0084,4,0.9993,0.0031,-0.0024,4.988959148851346,1.5842767022558046
10000,0.0005,1.0084,4,0.9993,0.0032,-0.0025,4.989458889669964,1.5907172454542509
10000,0.0005,1.0084,4,0.9993,0.0033,-0.0026,4.989458889669964,1.5911238722039964
10000,0.0005,1.0084,4,0.9993,0.0033,-0.0026,4.989458889669964,1.5939060518322026
10000,0.0005,1.0084,4,0.9993,0.0033,-0.0026,4.989458889669964,1.6000794022771176
10000,0.0005,1.0084,4,0.9993,0.0033,-0.0026,4.989458889669964,1.6051014398602708
10000,0.0005,1.0084,4,0.9993,0.0033,-0.0026,4.989458889669964,1.6068304819124741
10000,0.0005,1.0084,4,0.9993,0.0034,-0.0027,4.989458889669964,1.6076084230649568
10000,0.0005,1.0084,4,0.9993,0.0034,-0.0027,4.989458889669964,1.608628952230922
10000,0.0005,1.0084,4,0.9993,0.0035,-0.0028,4.989458889669964,1.6240050468281588
10000,0.0005,1.0084,4,0.9992,0.0034,-0.0026,4.989458889669964,1.624940468976411
10000,0.0005,1.0084,4,0.9992,0.0034,-0.0026,4.9890540269132755,1.6305195653158004
10000,0.0005,1.0084,4,0.9992,0.0034,-0.0026,4.9890540269132755,1.6307703253293746
10000,0.0005,1.0084,4,0.9992,0.0034,-0.0026,4.9890540269132755,1.6423200608739692
10000,0.0005,1.0084,4,0.9992,0.0034,-0.0026,4.9890540269132755,1.6438579093510008
10000,0.0005,1.0084,4,0.9991,0.0033,-0.0024,4.9890540269132755,1.6441071396286313
10000,0.0005,1.0084,4,0.9991,0.0033,-0.0024,4.9890540269132755,1.6448768873870372
10000,0.0005,1.0084,4,0.9991,0.0033,-0.0024,4.9890540269132755,1.6534458996016015
10000,0.0005,1.0084,4,0.9991,0.0033,-0.0024,4.9890540269132755,1.6564108249642218
10000,0.0005,1.0084,4,0.9991,0.0034,-0.0025,4.9890540269132755,1.6566437104191103
10000,0.0005,1.0084,4,0.9991,0.0035,-0.0026,4.9890540269132755,1.6624134240296655
10000,0.0005,1.0084,4,0.9991,0.0035,-0.0026,4.989554037765704,1.6738792672891327
10000,0.0005,1.0084,4,0.999,0.0034,-0.0024,4.989554037765704,1.677604773079528
10000,0.0005,1.0084,4,0.999,0.0034,-0.0024,4.989554037765704,1.6791011135536797
10000,0.0005,1.0084,4,0.999,0.0034,-0.0024,4.989554037765704,1.6958610041624635
10000,0.0005,1.0084,4,0.999,0.0034,-0.0024,4.989554037765704,1.6979160866669114
10000,0.0005,1.0084,4,0.999,0.0034,-0.0024,4.989554037765704,1.6984389919786174
10000,0.0005,1.0084,4,0.999,0.0034,-0.0024,4.989554037765704,1.7043584921527086
10000,0.0005,1.0084,4,0.999,0.0035,-0.0025,4.989554037765704,1.710159874644426
10000,0.0005,1.0084,4,0.999,0.0036,-0.0026,4.989554037765704,1.7140188143147985
10000,0.0005,1.0084,4,0.999,0.0036,-0.0026,4.989554037765704,1.7146461659167493
10000,0.0005,1.0084,4,0.999,0.0036,-0.0026,4.989953787422338,1.7208073633821355
10000,0.0005,1.0084,4,0.999,0.0036,-0.0026,4.989953787422338,1.7216027188234815
10000,0.0005,1.0084,4,0.999,0.0036,-0.0026,4.989953787422338,1.7253256411856484
10000,0.0005,1.0084,4,0.999,0.0036,-0.0026,4.989953787422338,1.727041386878228
10000,0.0005,1.0084,4,0.999,0.0036,-0.0026,4.989953787422338,1.7398185864197289
10000,0.0005,1.0084,4,0.999,0.0036,-0.0026,4.989953787422338,1.746614451965305
10000,0.0005,1.0084,4,0.999,0.0036,-0.0026,4.989953787422338,1.7487576342354683
10000,0.0005,1.0084,4,0.999,0.0036,-0.0026,4.989953787422338,1.7501087773399828
10000,0.0005,1.0084,4,0.999,0.0036,-0.0026,4.989953787422338,1.7507131655984498
10000,0.0005,1.0084,4,0.999,0.0036,-0.0026,4.989953787422338,1.7514600476980353
10000,0.0005,1.0084,4,0.999,0.0037,-0.0027,4.991158444689917,1.7514601205646831
10000,0.0005,1.0084,4,0.999,0.0037,-0.0027,4.991158444689917,1.7537132246169813
10000,0.0005,1.0084,4,0.999,0.0037,-0.0027,4.991158444689917,1.7585858117359843
10000,0.0005,1.0084,4,0.999,0.0037,-0.0027,4.991158444689917,1.759133769838463
10000,0.0005,1.0084,4,0.999,0.0037,-0.0027,4.991158444689917,1.7615784902440776
10000,0.0005,1.0084,4,0.999,0.0037,-0.0027,4.991158444689917,1.7621282603495232
10000,0.0005,1.0084,4,0.999,0.0037,-0.0027,4.991158444689917,1.7650193422321703
10000,0.0005,1.0084,4,0.999,0.0038,-0.0028,4.991158444689917,1.7667970332589114
10000,0.0005,1.0084,4,0.999,0.0039,-0.0029,4.991158444689917,1.773152626900612
10000,0.0005,1.0084,4,0.999,0.0039,-0.0029,4.991158444689917,1.7757249809247493
10000,0.0005,1.0084,4,0.999,0.0039,-0.0029,4.991558637322691,1.7786880075245421
10000,0.0005,1.0084,4,0.999,0.0039,-0.0029,4.991558637322691,1.7813414567625578
10000,0.0005,1.0084,4,0.999,0.0039,-0.0029,4.991558637322691,1.7820493243343964
10000,0.0005,1.0084,4,0.999,0.0039,-0.0029,4.991558637322691,1.7836793240802675
10000,0.0005,1.0084,4,0.999,0.0039,-0.0029,4.991558637322691,1.785171912290415
10000,0.0005,1.0084,4,0.999,0.0039,-0.0029,4.991558637322691,1.7864495691215418
10000,0.0005,1.0084,4,0.999,0.0039,-0.0029,4.991558637322691,1.7912519811607002
10000,0.0005,1.0084,4,0.999,0.0039,-0.0029,4.991558637322691,1.7928525475636874
10000,0.0005,1.0084,4,0.9989,0.0038,-0.0027,4.991558637322691,1.794395398946146
10000,0.0005,1.0084,4,0.9989,0.0038,-0.0027,4.991558637322691,1.79731052612049
10000,0.0005,1.0084,4,0.9989,0.0039,-0.0028,4.992462311558086,1.8024861037869033
10000,0.0005,1.0084,4,0.9989,0.0039,-0.0028,4.992462311558086,1.8113105704002168
10000,0.0005,1.0084,4,0.9989,0.004,-0.0029,4.992462311558086,1.817084798620364
10000,0.0005,1.0084,4,0.9989,0.004,-0.0029,4.992462311558086,1.8172669968746344
10000,0.0005,1.0084,4,0.9989,0.004,-0.0029,4.992462311558086,1.826702839245636
10000,0.0005,1.0084,4,0.9989,0.004,-0.0029,4.992462311558086,1.8317557178235722
10000,0.0005,1.0084,4,0.9989,0.004,-0.0029,4.992462311558086,1.8360479256817963
10000,0.0005,1.0084,4,0.9989,0.004,-0.0029,4.992462311558086,1.8360733380769718
10000,0.0005,1.0084,4,0.9989,0.004,-0.0029,4.992462311558086,1.8525711029213212
10000,0.0005,1.0084,4,0.9989,0.004,-0.0029,4.992462311558086,1.8527695722129005
10000,0.0005,1.0084,4,0.9989,0.004,-0.0029,4.993567192682638,1.8621743276332545
10000,0.0005,1.0084,4,0.9989,0.004,-0.0029,4.993567192682638,1.8654086586498175
10000,0.0005,1.0084,4,0.9989,0.004,-0.0029,4.993567192682638,1.8712077793516995
10000,0.0005,1.0084,4,0.9989,0.004,-0.0029,4.993567192682638,1.8843755088323098
10000,0.0005,1.0084,4,0.9989,0.0041,-0.003,4.993567192682638,1.8860469813345027
10000,0.0005,1.0084,4,0.9989,0.0041,-0.003,4.993567192682638,1.8924651287779075
10000,0.0005,1.0084,4,0.9989,0.0041,-0.003,4.993567192682638,1.8931144887536748
10000,0.0005,1.0084,4,0.9989,0.0042,-0.0031,4.993567192682638,1.8977243019584027
10000,0.0005,1.0084,4,0.9989,0.0042,-0.0031,4.993567192682638,1.9016361191113123
10000,0.0005,1.0084,4,0.9989,0.0042,-0.0031,4.993567192682638,1.9062973272047254
10000,0.0005,1.0084,4,0.9989,0.0042,-0.0031,4.994169096209747,1.9084371785859906
10000,0.0005,1.0084,4,0.9989,0.0042,-0.0031,4.994169096209747,1.9122351833432472
10000,0.0005,1.0084,4,0.9989,0.0042,-0.0031,4.994169096209747,1.9180821614206343
10000,0.0005,1.0084,4,0.9989,0.0042,-0.0031,4.994169096209747,1.92065650560324
10000,0.0005,1.0084,4,0.9989,0.0042,-0.0031,4.994169096209747,1.9241766294210834
10000,0.0005,1.0084,4,0.9989,0.0042,-0.0031,4.994169096209747,1.9277361688983812
10000,0.0005,1.0084,4,0.9989,0.0043,-0.0032,4.994169096209747,1.931591507630751
10000,0.0005,1.0084,4,0.9988,0.0042,-0.003,4.994169096209747,1.9325842825741737
10000,0.0005,1.0084,4,0.9988,0.0042,-0.003,4.994169096209747,1.9328579050629897
10000,0.0005,1.0084,4,0.9988,0.0042,-0.003,4.994169096209747,1.9338692643007205
10000,0.0005,1.0084,4,0.9988,0.0043,-0.0031,4.9949723479135075,1.9348483318882603
10000,0.0005,1.0084,4,0.9988,0.0043,-0.0031,4.9949723479135075,1.9438095318857067
10000,0.0005,1.0084,4,0.9988,0.0043,-0.0031,4.9949723479135075,1.9522365278654636
10000,0.0005,1.0084,4,0.9988,0.0043,-0.0031,4.9949723479135075,1.960135090153946
10000,0.0005,1.0084,4,0.9987,0.0042,-0.0029,4.9949723479135075,1.9657972285835315
10000,0.0005,1.0084,4,0.9987,0.0042,-0.0029,4.9949723479135075,1.967233009152386
10000,0.0005,1.0084,4,0.9986,0.0041,-0.0027,4.9949723479135075,1.9682301178128823
10000,0.0005,1.0084,4,0.9986,0.0041,-0.0027,4.9949723479135075,1.9684823303568362
10000,0.0005,1.0084,4,0.9985,0.004,-0.0025,4.9949723479135075,1.9714090881137443
10000,0.0005,1.0084,4,0.9985,0.004,-0.0025,4.9949723479135075,1.9718798630183445
10000,0.0005,1.0084,4,0.9984,0.0039,-0.0023,4.995575666163885,1.9720172683821777
10000,0.0005,1.0084,4,0.9983,0.0038,-0.0021,4.995575666163885,1.975922154111224
10000,0.0005,1.0084,4,0.9983,0.0038,-0.0021,4.995575666163885,1.976737574934804
10000,0.0005,1.0084,4,0.9983,0.0038,-0.0021,4.995575666163885,1.9783827190220058
10000,0.0005,1.0084,4,0.9983,0.0039,-0.0022,4.995575666163885,1.9841839739414062
10000,0.0005,1.0084,4,0.9983,0.0039,-0.0022,4.995575666163885,1.988910169989638
10000,0.0005,1.0084,4,0.9983,0.0039,-0.0022,4.995575666163885,1.9891182305886121
10000,0.0005,1.0084,4,0.9983,0.0039,-0.0022,4.995575666163885,2.0164233780308374
10000,0.0005,1.0084,4,0.9983,0.004,-0.0023,4.995575666163885,2.0168895295192146
10000,0.0005,1.0084,4,0.9983,0.004,-0.0023,4.995575666163885,2.0214629973124936
10000,0.0005,1.0084,4,0.9983,0.0041,-0.0024,4.996177831422294,2.024118962427169
10000,0.0005,1.0084,4,0.9983,0.0041,-0.0024,4.996177831422294,2.0326575253149763
10000,0.0005,1.0084,4,0.9982,0.004,-0.0022,4.996177831422294,2.0335733623000474
10000,0.0005,1.0084,4,0.9982,0.004,-0.0022,4.996177831422294,2.0336369248140787
10000,0.0005,1.0084,4,0.9982,0.0041,-0.0023,4.996177831422294,2.037134236125212
10000,0.0005,1.0084,4,0.9981,0.004,-0.0021,4.996177831422294,2.0383634548815306
10000,0.0005,1.0084,4,0.9981,0.004,-0.0021,4.996177831422294,2.039145011636075
10000,0.0005,1.0084,4,0.9981,0.004,-0.0021,4.996177831422294,2.0505503650347174
10000,0.0005,1.0084,4,0.9981,0.004,-0.0021,4.996177831422294,2.0597284566325422
10000,0.0005,1.0084,4,0.998,0.0039,-0.0019,4.996177831422294,2.0618063561648268
10000,0.0005,1.0084,4,0.998,0.0039,-0.0019,4.99587566643177,2.0644907011675664
10000,0.0005,1.0084,4,0.998,0.004,-0.002,4.99587566643177,2.067769439857923
10000,0.0005,1.0084,4,0.998,0.004,-0.002,4.99587566643177,2.0729196202578137
10000,0.0005,1.0084,4,0.998,0.004,-0.002,4.99587566643177,2.0792656052851295
10000,0.0005,1.0084,4,0.998,0.004,-0.002,4.99587566643177,2.081003543125713
10000,0.0005,1.0084,4,0.998,0.0041,-0.0021,4.99587566643177,2.0813802005955053
10000,0.0005,1.0084,4,0.998,0.0041,-0.0021,4.99587566643177,2.087160163005394
10000,0.0005,1.0084,4,0.998,0.0041,-0.0021,4.99587566643177,2.0877283494992227
10000,0.0005,1.0084,4,0.998,0.0041,-0.0021,4.99587566643177,2.089928779695626
10000,0.0005,1.0084,4,0.998,0.0042,-0.0022,4.99587566643177,2.091055596100165
