n,p,lambd,rho,s,diam
1000,0,1,51.82428137470594,0.985,113
875,0,1,10,0.8868571428571429,81
328,0,1,10,0.9024390243902439,64
457,0,1,10,0.9080962800875274,47
1340,0,1,10,0.891044776119403,83
1057,0,1,10,0.9091769157994324,106
2543,0,1,10,0.9028706252457727,126
805,0,1,10,0.8919254658385093,54
1000,0,1,83.35562578458597,0.983,83
1802,0,1,10,0.8945615982241953,121
684,0,1,10,0.8991228070175439,56
384,0,1,10,0.9088541666666666,42
106,0,1,10,0.8584905660377359,24
1000,0,1,44.79514688966182,0.977,65
1000,0,1,64.46996871843842,0.98,61
1000,0,1,36.06768388973024,0.969,84
567,0,1,10,0.9047619047619048,62
977,0,1,10,0.8976458546571137,77
2477,0,1,10,0.901090028259992,125
1846,0,1,10,0.90465872156013,110
802,0,1,10,0.912718204488778,84
1000,0,1,52.61158507464937,0.979,78
1000,0,1,45.79944808584002,0.972,96
2175,0,1,10,0.9002298850574713,139
1000,0,1,72.06249187090098,0.983,102
2990,0,1,10,0.9026755852842809,165
1000,0,1,69.34958722547488,0.98,84
1000,0,1,81.88984390304587,0.991,84
276,0,1,10,0.9021739130434783,33
2999,0,1,10,0.9016338779593198,89
451,0,1,10,0.8869179600886918,46
1000,0,1,39.989995610408215,0.976,95
1413,0,1,10,0.8980891719745223,111
1000,0,1,0.8498881434962358,0.0,0
1000,0,1,61.956643301467885,0.977,118
1486,0,1,10,0.8950201884253028,91
2284,0,1,10,0.8966725043782837,126
367,0,1,10,0.9100817438692098,54
2373,0,1,10,0.8912768647281921,134
2740,0,1,10,0.9047445255474452,109
458,0,1,10,0.8908296943231441,45
2959,0,1,10,0.9026698208854342,161
1000,0,1,20.794594129234955,0.938,81
2688,0,1,10,0.9032738095238095,149
1000,0,1,84.45023105993667,0.99,75
1000,0,1,2.717664630905048,0.644,65
1000,0,1,1.5965782110128668,0.306,52
736,0,1,10,0.90625,57
1000,0,1,91.81493161692349,0.989,86
