n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,1.25,4,9974,11,15,2.4726263599582006,4.963809523809138
10000,0.0005,1.25,4,9974,11,15,2.481247049613373,4.963809523809138
10000,0.0005,1.25,4,9973,12,15,2.4902763949858335,4.963809523809138
10000,0.0005,1.25,4,9972,13,15,2.4972571977781546,4.963809523809138
10000,0.0005,1.25,4,9972,13,15,2.503946160988857,4.963809523809138
10000,0.0005,1.25,4,9972,13,15,2.5108785700009886,4.963809523809138
10000,0.0005,1.25,4,9972,12,16,2.518072814605305,4.963809523809138
10000,0.0005,1.25,4,9972,12,16,2.5253191914168993,4.963809523809138
10000,0.0005,1.25,4,9972,12,16,2.5328521481023984,4.964300040112393
10000,0.0005,1.25,4,9972,12,16,2.5406952853573004,4.964300040112393
10000,0.0005,1.25,4,9971,13,16,2.5488752444575047,4.964300040112393
10000,0.0005,1.25,4,9970,14,16,2.5551252444575048,4.964300040112393
10000,0.0005,1.25,4,9970,14,16,2.5603200496523097,4.964300040112393
10000,0.0005,1.25,4,9970,14,16,2.5656605035908946,4.964300040112393
10000,0.0005,1.25,4,9970,14,16,2.5711550090854,4.964300040112393
10000,0.0005,1.25,4,9970,14,16,2.576812717713406,4.964300040112393
10000,0.0005,1.25,4,9970,14,16,2.5826436215034936,4.964300040112393
10000,0.0005,1.25,4,9970,14,16,2.5886586590974785,4.964300040112393
10000,0.0005,1.25,4,9969,15,16,2.594869839221702,4.964393179538611
10000,0.0005,1.25,4,9969,15,16,2.600848912465349,4.964393179538611
10000,0.0005,1.25,4,9968,16,16,2.607021751971522,4.964393179538611
10000,0.0005,1.25,4,9968,15,17,2.612785440732329,4.964393179538611
10000,0.0005,1.25,4,9968,15,17,2.6185825421816045,4.964393179538611
10000,0.0005,1.25,4,9968,15,17,2.6245616154252516,4.964393179538611
10000,0.0005,1.25,4,9968,15,17,2.6307344549314244,4.964393179538611
10000,0.0005,1.25,4,9967,16,17,2.6371140402583784,4.964393179538611
10000,0.0005,1.25,4,9966,17,17,2.642548822867074,4.964393179538611
10000,0.0005,1.25,4,9966,17,17,2.647805064654196,4.964393179538611
10000,0.0005,1.25,4,9966,17,17,2.6532104700596015,4.965181617499567
10000,0.0005,1.25,4,9966,17,17,2.65877375239618,4.965181617499567
10000,0.0005,1.25,4,9966,17,17,2.664504411421968,4.965181617499567
10000,0.0005,1.25,4,9966,17,17,2.6704128309197523,4.965181617499567
10000,0.0005,1.25,4,9966,17,17,2.676510391895362,4.965181617499567
10000,0.0005,1.25,4,9966,17,17,2.6828096044937872,4.965181617499567
10000,0.0005,1.25,4,9966,17,17,2.6893242624742433,4.965181617499567
10000,0.0005,1.25,4,9966,16,18,2.696069625037481,4.965181617499567
10000,0.0005,1.25,4,9966,16,18,2.7033822392970785,4.965181617499567
10000,0.0005,1.25,4,9966,16,18,2.710986802034721,4.965181617499567
10000,0.0005,1.25,4,9966,16,18,2.718907594113929,4.966084687939061
10000,0.0005,1.25,4,9966,16,18,2.7271720569238465,4.966084687939061
10000,0.0005,1.25,4,9966,16,18,2.735811365779138,4.966084687939061
10000,0.0005,1.25,4,9966,16,18,2.744861139534794,4.966084687939061
10000,0.0005,1.25,4,9965,17,18,2.7543623271832502,4.966084687939061
10000,0.0005,1.25,4,9965,17,18,2.7629276376757557,4.966084687939061
10000,0.0005,1.25,4,9964,18,18,2.7718962475412265,4.966084687939061
10000,0.0005,1.25,4,9964,18,18,2.7791034547484337,4.966084687939061
10000,0.0005,1.25,4,9963,19,18,2.7865940914525535,4.966084687939061
10000,0.0005,1.25,4,9962,20,18,2.7928149312659283,4.966084687939061
10000,0.0005,1.25,4,9962,20,18,2.7979895755091366,4.966071070066509
10000,0.0005,1.25,4,9962,19,19,2.8033087244453068,4.966071070066509
10000,0.0005,1.25,4,9961,20,19,2.8086563180281945,4.966071070066509
10000,0.0005,1.25,4,9961,20,19,2.81344100702341,4.966071070066509
10000,0.0005,1.25,4,9961,20,19,2.8182256960186254,4.966071070066509
10000,0.0005,1.25,4,9961,20,19,2.823133671478748,4.966071070066509
10000,0.0005,1.25,4,9961,20,19,2.828171454854063,4.966071070066509
10000,0.0005,1.25,4,9961,20,19,2.8333460990972714,4.966071070066509
10000,0.0005,1.25,4,9961,20,19,2.8386652480334416,4.966071070066509
10000,0.0005,1.25,4,9961,20,19,2.844137204257792,4.966071070066509
10000,0.0005,1.25,4,9960,21,19,2.8497710070746933,4.966670013051165
10000,0.0005,1.25,4,9960,21,19,2.855543012846699,4.966670013051165
10000,0.0005,1.25,4,9960,21,19,2.86149539379908,4.966670013051165
10000,0.0005,1.25,4,9960,21,19,2.8676397870402477,4.966670013051165
10000,0.0005,1.25,4,9960,21,19,2.873988993389454,4.966670013051165
10000,0.0005,1.25,4,9960,21,19,2.880557137888633,4.966670013051165
10000,0.0005,1.25,4,9960,21,19,2.887359858977068,4.966670013051165
10000,0.0005,1.25,4,9960,20,20,2.8944145326984083,4.966670013051165
10000,0.0005,1.25,4,9960,20,20,2.9015193284355307,4.966670013051165
10000,0.0005,1.25,4,9960,20,20,2.9088994022362686,4.966670013051165
10000,0.0005,1.25,4,9960,20,20,2.9165769454224493,4.967871485943651
10000,0.0005,1.25,4,9960,20,20,2.9245769454224493,4.967871485943651
10000,0.0005,1.25,4,9960,20,20,2.9329276761113845,4.967871485943651
10000,0.0005,1.25,4,9960,20,20,2.9416613005655328,4.967871485943651
10000,0.0005,1.25,4,9959,21,20,2.950814618643336,4.967871485943651
10000,0.0005,1.25,4,9958,22,20,2.959096192142301,4.967871485943651
10000,0.0005,1.25,4,9957,23,20,2.9658529488990575,4.967871485943651
10000,0.0005,1.25,4,9957,23,20,2.9721225413755463,4.967871485943651
10000,0.0005,1.25,4,9957,23,20,2.9786055235473454,4.967871485943651
10000,0.0005,1.25,4,9957,23,20,2.9853169329433187,4.967871485943651
10000,0.0005,1.25,4,9957,23,20,2.992273454682449,4.96856482876376
10000,0.0005,1.25,4,9957,23,20,2.9994936712889473,4.96856482876376
10000,0.0005,1.25,4,9957,23,20,3.006998361720467,4.96856482876376
10000,0.0005,1.25,4,9956,24,20,3.014810861720467,4.96856482876376
10000,0.0005,1.25,4,9956,24,20,3.021477528387134,4.96856482876376
10000,0.0005,1.25,4,9956,24,20,3.028385991254146,4.96856482876376
10000,0.0005,1.25,4,9956,24,20,3.035554450035508,4.96856482876376
10000,0.0005,1.25,4,9956,24,20,3.0430032396072026,4.96856482876376
10000,0.0005,1.25,4,9956,24,20,3.050755177591699,4.96856482876376
10000,0.0005,1.25,4,9955,25,20,3.058835985672507,4.96856482876376
10000,0.0005,1.25,4,9955,25,20,3.065458502228798,4.969060773480828
10000,0.0005,1.25,4,9955,25,20,3.0723195656936353,4.969060773480828
10000,0.0005,1.25,4,9955,25,20,3.0794370034160554,4.969060773480828
10000,0.0005,1.25,4,9955,24,21,3.086830718758015,4.969060773480828
10000,0.0005,1.25,4,9955,24,21,3.0942795083297097,4.969060773480828
10000,0.0005,1.25,4,9954,25,21,3.102031446314206,4.969060773480828
10000,0.0005,1.25,4,9954,25,21,3.107845399802578,4.969060773480828
10000,0.0005,1.25,4,9954,24,22,3.113842401301828,4.969060773480828
10000,0.0005,1.25,4,9954,24,22,3.119875583805599,4.969060773480828
10000,0.0005,1.25,4,9954,24,22,3.1261061134006143,4.969060773480828
10000,0.0005,1.25,4,9954,23,23,3.1325473372331425,4.969258589511988
10000,0.0005,1.25,4,9954,23,23,3.1403598372331425,4.969258589511988
10000,0.0005,1.25,4,9953,24,23,3.1485064767443443,4.969258589511988
10000,0.0005,1.25,4,9952,25,23,3.155173143411011,4.969258589511988
10000,0.0005,1.25,4,9952,25,23,3.1613650938754074,4.969258589511988
10000,0.0005,1.25,4,9952,25,23,3.1677650938754076,4.969258589511988
10000,0.0005,1.25,4,9952,24,24,3.174387610431699,4.969258589511988
10000,0.0005,1.25,4,9952,24,24,3.1810542770983656,4.969258589511988
10000,0.0005,1.25,4,9951,25,24,3.1879627399653776,4.969258589511988
10000,0.0005,1.25,4,9951,25,24,3.193959741464628,4.969258589511988
10000,0.0005,1.25,4,9951,25,24,3.2001516919290243,4.969550798914511
10000,0.0005,1.25,4,9951,25,24,3.2065516919290245,4.969550798914511
10000,0.0005,1.25,4,9951,25,24,3.2131742084853157,4.969550798914511
10000,0.0005,1.25,4,9951,24,25,3.220035271950153,4.969550798914511
10000,0.0005,1.25,4,9950,25,25,3.2274840615218476,4.969550798914511
10000,0.0005,1.25,4,9950,25,25,3.233481063021098,4.969550798914511
10000,0.0005,1.25,4,9950,24,26,3.2396730134854943,4.969550798914511
10000,0.0005,1.25,4,9950,24,26,3.2459035430805097,4.969550798914511
10000,0.0005,1.25,4,9950,24,26,3.252344766913038,4.969550798914511
10000,0.0005,1.25,4,9950,24,26,3.2590114335797047,4.969550798914511
10000,0.0005,1.25,4,9950,24,26,3.2659198964467167,4.969949748744032
10000,0.0005,1.25,4,9949,25,26,3.2730883552280785,4.969949748744032
10000,0.0005,1.25,4,9949,25,26,3.2787301041702506,4.969949748744032
10000,0.0005,1.25,4,9949,25,26,3.2845440576586227,4.969949748744032
10000,0.0005,1.25,4,9949,25,26,3.290541059157873,4.969949748744032
10000,0.0005,1.25,4,9948,26,26,3.2967330096222693,4.969949748744032
10000,0.0005,1.25,4,9948,26,26,3.3015005900751895,4.969949748744032
10000,0.0005,1.25,4,9948,26,26,3.306390565625312,4.969949748744032
10000,0.0005,1.25,4,9948,26,26,3.311409386202476,4.969949748744032
10000,0.0005,1.25,4,9948,26,26,3.3165640253777338,4.969949748744032
10000,0.0005,1.25,4,9948,26,26,3.321862038622767,4.969742661842193
10000,0.0005,1.25,4,9948,26,26,3.327311629903421,4.969742661842193
10000,0.0005,1.25,4,9948,26,26,3.332921728080139,4.969742661842193
10000,0.0005,1.25,4,9948,26,26,3.338702074900948,4.969742661842193
10000,0.0005,1.25,4,9948,26,26,3.3446633267638393,4.969742661842193
10000,0.0005,1.25,4,9948,26,26,3.350817172917685,4.969742661842193
10000,0.0005,1.25,4,9948,26,26,3.3571764733946328,4.969742661842193
10000,0.0005,1.25,4,9948,26,26,3.363755420763054,4.969742661842193
10000,0.0005,1.25,4,9947,27,26,3.3705697308141613,4.969742661842193
10000,0.0005,1.25,4,9947,27,26,3.3763168572509428,4.969742661842193
10000,0.0005,1.25,4,9946,28,26,3.382242783176869,4.970443349753529
10000,0.0005,1.25,4,9946,28,26,3.3876336187563836,4.970443349753529
10000,0.0005,1.25,4,9946,27,27,3.393181468964428,4.970443349753529
10000,0.0005,1.25,4,9946,27,27,3.3997174166768462,4.970443349753529
10000,0.0005,1.25,4,9946,27,27,3.4064856061861524,4.970443349753529
10000,0.0005,1.25,4,9946,27,27,3.4135031500458015,4.970443349753529
10000,0.0005,1.25,4,9946,27,27,3.420789124544891,4.970443349753529
10000,0.0005,1.25,4,9946,27,27,3.4283648821206487,4.970443349753529
10000,0.0005,1.25,4,9946,27,27,3.4362544284717336,4.970443349753529
10000,0.0005,1.25,4,9946,27,27,3.444484881146631,4.970443349753529
10000,0.0005,1.25,4,9946,26,28,3.4530870316842655,4.971244721496072
10000,0.0005,1.25,4,9946,26,28,3.461763821272118,4.971244721496072
10000,0.0005,1.25,4,9946,26,28,3.470854730363027,4.971244721496072
10000,0.0005,1.25,4,9946,26,28,3.480401269742502,4.971244721496072
10000,0.0005,1.25,4,9946,26,28,3.4904515209987834,4.971244721496072
10000,0.0005,1.25,4,9946,26,28,3.5010616005743804,4.971244721496072
10000,0.0005,1.25,4,9945,27,28,3.51229755563056,4.971244721496072
10000,0.0005,1.25,4,9945,26,29,3.5208997061681946,4.971244721496072
10000,0.0005,1.25,4,9945,25,30,3.529576495756047,4.971244721496072
10000,0.0005,1.25,4,9945,25,30,3.538329230985806,4.971244721496072
10000,0.0005,1.25,4,9945,25,30,3.5475035429124118,4.971644042232261
10000,0.0005,1.25,4,9944,26,30,3.557142097129279,4.971644042232261
10000,0.0005,1.25,4,9943,27,30,3.565440852316001,4.971644042232261
10000,0.0005,1.25,4,9943,27,30,3.57245839617565,4.971644042232261
10000,0.0005,1.25,4,9942,28,30,3.5797443706747396,4.971644042232261
10000,0.0005,1.25,4,9942,28,30,3.58646705975037,4.971644042232261
10000,0.0005,1.25,4,9941,29,30,3.5934357008653524,4.971644042232261
10000,0.0005,1.25,4,9941,29,30,3.598952942244663,4.971644042232261
10000,0.0005,1.25,4,9941,29,30,3.6046347604264812,4.971644042232261
10000,0.0005,1.25,4,9941,29,30,3.610491275799834,4.971644042232261
10000,0.0005,1.25,4,9941,29,30,3.616533571872342,4.9718338195350675
10000,0.0005,1.25,4,9940,30,30,3.622773821482326,4.9718338195350675
10000,0.0005,1.25,4,9939,31,30,3.627693870682818,4.9718338195350675
10000,0.0005,1.25,4,9939,31,30,3.6323504480984177,4.9718338195350675
10000,0.0005,1.25,4,9939,31,30,3.637123717788155,4.9718338195350675
10000,0.0005,1.25,4,9939,31,30,3.642019678620468,4.9718338195350675
10000,0.0005,1.25,4,9939,31,30,3.6470448042486088,4.9718338195350675
10000,0.0005,1.25,4,9939,31,30,3.6522060945711896,4.9718338195350675
10000,0.0005,1.25,4,9939,31,30,3.657511134358988,4.9718338195350675
10000,0.0005,1.25,4,9939,30,31,3.662968160279861,4.9718338195350675
10000,0.0005,1.25,4,9939,30,31,3.6686178777939853,4.9721299929574965
10000,0.0005,1.25,4,9939,30,31,3.674440294096751,4.9721299929574965
10000,0.0005,1.25,4,9939,30,31,3.680446300102757,4.9721299929574965
10000,0.0005,1.25,4,9938,31,31,3.686647850490354,4.9721299929574965
10000,0.0005,1.25,4,9938,31,31,3.6916729761184945,4.9721299929574965
10000,0.0005,1.25,4,9938,31,31,3.6968342664410754,4.9721299929574965
10000,0.0005,1.25,4,9938,31,31,3.7021393062288737,4.9721299929574965
10000,0.0005,1.25,4,9938,30,32,3.707596332149747,4.9721299929574965
10000,0.0005,1.25,4,9938,30,32,3.713083300599678,4.9721299929574965
10000,0.0005,1.25,4,9938,29,33,3.7187330181138023,4.9721299929574965
10000,0.0005,1.25,4,9938,29,33,3.7244148362956206,4.972429060172686
10000,0.0005,1.25,4,9938,29,33,3.7302713516689736,4.972429060172686
10000,0.0005,1.25,4,9937,30,33,3.7363136477414813,4.972429060172686
10000,0.0005,1.25,4,9937,30,33,3.741501715186358,4.972429060172686
10000,0.0005,1.25,4,9937,30,33,3.7468350485196913,4.972429060172686
10000,0.0005,1.25,4,9937,30,33,3.7523220169696225,4.972429060172686
10000,0.0005,1.25,4,9937,29,34,3.7579717344837467,4.972429060172686
10000,0.0005,1.25,4,9936,30,34,3.763653552665565,4.972429060172686
10000,0.0005,1.25,4,9936,29,35,3.769303270179689,4.972429060172686
10000,0.0005,1.25,4,9936,29,35,3.7749850883615075,4.972429060172686
10000,0.0005,1.25,4,9935,30,35,3.7808416037348604,4.973128019323439
10000,0.0005,1.25,4,9935,29,36,3.7866640200376263,4.973128019323439
10000,0.0005,1.25,4,9935,29,36,3.792520535410979,4.973128019323439
10000,0.0005,1.25,4,9935,29,36,3.798562831483487,4.973128019323439
10000,0.0005,1.25,4,9935,29,36,3.804803081093471,4.973128019323439
10000,0.0005,1.25,4,9934,30,36,3.811254693996697,4.973128019323439
10000,0.0005,1.25,4,9933,31,36,3.816741662446628,4.973128019323439
10000,0.0005,1.25,4,9933,31,36,3.8212871169920826,4.973128019323439
10000,0.0005,1.25,4,9933,31,36,3.825943694407682,4.973128019323439
10000,0.0005,1.25,4,9933,31,36,3.8307169640974195,4.973128019323439
10000,0.0005,1.25,4,9933,31,36,3.8356129249297326,4.973421926910336
10000,0.0005,1.25,4,9933,31,36,3.840638050557873,4.973421926910336
10000,0.0005,1.25,4,9932,32,36,3.845799340880454,4.973421926910336
10000,0.0005,1.25,4,9932,31,37,3.850549934704682,4.973421926910336
10000,0.0005,1.25,4,9931,32,37,3.8553232043944194,4.973421926910336
10000,0.0005,1.25,4,9931,32,37,3.8598480912722475,4.973421926910336
10000,0.0005,1.25,4,9931,32,37,3.8644830854785046,4.973421926910336
10000,0.0005,1.25,4,9930,33,37,3.8692336793027327,4.973421926910336
10000,0.0005,1.25,4,9930,32,38,3.87353475457155,4.973421926910336
10000,0.0005,1.25,4,9930,32,38,3.8778544089991955,4.973421926910336
10000,0.0005,1.25,4,9930,32,38,3.882274298501958,4.973917421953793
10000,0.0005,1.25,4,9930,32,38,3.886799185379786,4.973917421953793
10000,0.0005,1.25,4,9930,31,39,3.891434179586043,4.973917421953793
10000,0.0005,1.25,4,9930,31,39,3.8963301404183563,4.973917421953793
10000,0.0005,1.25,4,9929,32,39,3.901355266046497,4.973917421953793
10000,0.0005,1.25,4,9929,32,39,3.906227373232855,4.973917421953793
10000,0.0005,1.25,4,9929,32,39,3.911227373232855,4.973917421953793
10000,0.0005,1.25,4,9929,31,40,3.916362161422842,4.973917421953793
10000,0.0005,1.25,4,9928,32,40,3.921523451745423,4.973917421953793
10000,0.0005,1.25,4,9928,32,40,3.92615844595168,4.973917421953793
