lambda,rho,S,I,R,mu
8.4,4,0.018873796150660937,2.5503410224158324e-09,0.9811262012989964,5.238522070665372
8.5,4,0.018632235313317508,2.5426927142213764e-09,0.9813677621439907,5.2357321391939475
8.6,4,0.01839864473355163,2.5352660823868578e-09,0.9816013527311903,5.233006997303222
8.7,4,0.018172650101962645,2.5280516817407327e-09,0.9818273473699812,5.230344416617375
8.8,4,0.017953899285435983,2.5210405944200497e-09,0.9820460981935283,5.227742269631888
8.9,4,0.01774206075555471,2.514224393669898e-09,0.9822579367302213,5.22519852408237
9.0,4,0.01753682214585491,2.5075951105785076e-09,0.9824631753465439,5.222711237685234
9.1,4,0.017337888925979383,2.501145203475888e-09,0.9826621085728761,5.22027855322214
9.2,4,0.017144983182026324,2.49486752974911e-09,0.982855014323105,5.217898693942251
9.3,4,0.016957842493464843,2.4887553198561167e-09,0.9830421550177717,5.215569959258904
9.4,4,0.016776218897971616,2.4828021533404407e-09,0.9832237786192262,5.21329072071871
9.5,4,0.01659987793639657,2.4770019366690094e-09,0.9834001195865939,5.2110594182234085
9.6,4,0.016428597770842338,2.4713488827346373e-09,0.9835713997578164,5.208874556486273
9.7,4,0.016262168369513236,2.4658374918785466e-09,0.9837378291646542,5.206734701706039
9.8,4,0.0161003907526127,2.4604625343034017e-09,0.9838996067869233,5.204638478443529
9.9,4,0.01594307629411318,2.45521903375995e-09,0.9840569212506751,5.202584566685842
1,0.0,0.10705242942111452,2.6797977721678446e-08,0.8929475437809171,5.0
1,0.1,0.11736952453072413,2.777966002490433e-08,0.8826304476896192,5.049227453830438
1,0.2,0.1282343127876997,2.8972547279564755e-08,0.8717656582397508,5.098186491690006
1,0.3,0.13967515005224682,3.039145077485496e-08,0.860324819556306,5.146817615566843
1,0.4,0.15172323645977814,3.206301493774327e-08,0.8482767314772056,5.1950515282922884
1,0.5,0.16441290591235383,3.4026452696465715e-08,0.8355870600611942,5.242807589913035
1,0.6,0.17778197400702317,3.633589389077447e-08,0.8222179896570804,5.289991994789915
1,0.7,0.1918721517015597,3.906453097050077e-08,0.8081278092339053,5.33649560983163
1,0.8,0.20672953440434957,4.2311154092217976e-08,0.7932704232844956,5.38219139943679
1,0.9,0.22240517879951924,4.6210206735467837e-08,0.7775947749902722,5.426931343758013
1,1.0,0.23895578269970774,5.094735666688289e-08,0.7610441663529395,5.470542732532574
1,1.1,0.25644448666005465,5.67841013150988e-08,0.7435554565558428,5.512823685291671
1,1.2,0.27494182006402984,6.409778210561323e-08,0.7250581158381858,5.553537708059184
1,1.3,0.29452681893181293,7.344901325976372e-08,0.705473107619174,5.592407043809089
1,1.4,0.3152883477265028,8.57002460255863e-08,0.6847115665732562,5.629104505251786
1,1.5,0.33732666266069855,1.022350813545765e-07,0.6626732351042194,5.663243389247439
1,1.6,0.36075525874777553,1.2538930360860813e-07,0.639244615862927,5.6943649565472425
1,1.7,0.3857030456467211,1.5936230778533387e-07,0.6142967949909681,5.721922812153207
1,1.8,0.4123168953032869,2.1232272688589103e-07,0.5876828923739795,5.74526333413998
1,1.9,0.4407645918045118,3.018192785892504e-07,0.5592351063762172,5.763601069388345
1,2.0,0.4712381797576978,4.7053126567672697e-07,0.5287613497110307,5.775987750803857
1,2.1,0.5039576311075487,8.389128630676537e-07,0.4960415299795862,5.781273326291449
1,2.2,0.5391745976619804,1.8074407464355376e-06,0.46082359489727415,5.778057215166495
1,2.3,0.5771757884493737,4.931855710993045e-06,0.4228192796949185,5.764628052585212
1,2.4,0.6182858217255648,1.6982569936656573e-05,0.38169719570449756,5.73888974311965
1,2.5,0.6628762081864603,6.83258872313017e-05,0.3370554659263132,5.698260108497089
1,2.6,0.7114378310140191,0.0002804171525410317,0.2882817518334344,5.639423921255217
1,2.7,0.7649524585856506,0.0009720161897853355,0.2340755252245601,5.557351176411956
1,2.8,0.8251364078095128,0.002171008836761571,0.17269258335373333,5.4440138236460776
1,2.9,0.8882206181727645,0.0022878141200844684,0.1094915677071522,5.303145417822809
1,3.0,0.9370169623622335,0.0010636847752087573,0.06191935286255957,5.180000662442473
1,3.1,0.9637429257770344,0.00028625270687412377,0.03597082151609413,5.10726104350187
1,3.2,0.9765884532102589,5.901043868791064e-05,0.02335253635104773,5.070841682383656
1,3.3,0.9831091706224901,1.0842791028141883e-05,0.01687998658648013,5.05197070843951
1,3.4,0.9868165783946312,1.9067585317039504e-06,0.013181514846836587,5.041129921266073
1,3.5,0.9891550916711195,3.33270882653264e-07,0.010844575057997814,5.034253151381853
1,3.6,0.990751748473041,5.951817524016439e-08,0.009248192008778402,5.029541588456276
1,3.7,0.9919074255719634,1.1203834384147933e-08,0.00809256322419381,5.026123252203662
1,3.8,0.9927812625057872,2.332662735605317e-09,0.007218735161542018,5.023534122740359
1,3.9,0.993464558541062,5.812202620469922e-10,0.006535440877714457,5.021506910318243
1,4.0,0.9940132201692278,1.9100692696431368e-10,0.005986779639762975,5.019877461216137
1,4.1,0.9944633191697192,8.649312236150142e-11,0.0055366807437916285,5.018539622263001
1,4.2,0.9948391408739653,5.0964318407598077e-11,0.005160859075066529,5.017421797809321
1,4.3,0.9951576203558212,3.5537519783372665e-11,0.0048423796086213885,5.0164739885592065
1,4.4,0.9954309205988475,2.735671430962714e-11,0.004569079373770228,5.0156602407370245
1,4.5,0.9956679990946963,2.236097089896437e-11,0.0043320008829078925,5.014954048806487
1,4.6,0.9958755965404663,1.900528546544533e-11,0.004124403440501278,5.014335449271636
1,4.7,0.9960588814921549,1.6598205108085727e-11,0.003941118491224741,5.0137891231017875
1,4.8,0.9962218827681505,1.4787958578937008e-11,0.0037781172170309107,5.013303121385358
