S,I,R,mu,t
0.995773766948652,0.0033886609398581687,0.000837572111490163,5.006311217637149,1.3
0.9956048715488944,0.0035236697302173468,0.0008714587208887447,5.006563490049805,1.31
0.9954292817343726,0.0036640228474369117,0.0009066954181909182,5.006825717161903,1.32
0.9952467347147825,0.0038099296385526427,0.0009433356466652873,5.007098286134793,1.33
0.9950569575917111,0.003961607465238472,0.0009814349430508137,5.007381598727884,1.34
0.9948596669868027,0.00411928199549435,0.0010210510177031985,5.007676071811506,1.35
0.9946545686576482,0.004283187504694156,0.001062243837658142,5.00798213789467,1.36
0.9944413571011095,0.004453567186186028,0.0011050757127050836,5.008300245667873,1.37
0.9942197151438021,0.004630673471631143,0.0011496113845669439,5.008630860561095,1.38
0.993989313519458,0.004814768361259306,0.0011959181192832552,5.008974465317082,1.39
0.9937498104328939,0.0050061237642105225,0.0012440658028958485,5.009331560579981,1.4
0.9935008511103414,0.005205021849121123,0.0012941270405379536,5.009702665499369,1.41
0.9932420673358705,0.0054117554051005025,0.0013461772590291647,5.010088318349655,1.42
0.9929730769736897,0.005626628213230333,0.0014002948130801699,5.010489077164793,1.43
0.992693483476086,0.005849955428701718,0.0014565610952124732,5.01090552038822,1.44
0.9924028753768136,0.006082063973687218,0.0015150606494994904,5.011338247537809,1.45
0.9921008257697402,0.006323292941023698,0.0015758812892363624,5.0117878798856585,1.46
0.9917868917725953,0.006573994008758329,0.0016391142186465996,5.0122550611523655,1.47
0.9914606139756823,0.006834531865583607,0.0017048541587341827,5.012740458215448,1.48
0.9911215158754525,0.007105284647157722,0.0017731994773900188,5.013244761831426,1.49
0.990769103292865,0.0073866443832736614,0.0018442523238615962,5.013768687371027,1.5
0.9904028637765019,0.007679017455803992,0.0019181187676943327,5.014312975566853,1.51
0.9900222659904401,0.007982825067307782,0.0019949089422523726,5.014878393272747,1.52
0.9896267590869332,0.008298503720141544,0.0020747371929254505,5.015465734233985,1.53
0.9892157720640061,0.008626505705866943,0.002157722230126866,5.0160758198672735,1.54
0.9887887131081204,0.008967299604693939,0.0022439872871855356,5.016709500049418,1.55
0.9883449689221288,0.00932137079463884,0.002333660283232475,5.017367653913342,1.56
0.9878839040388094,0.00968922197001184,0.0024268739911788633,5.018051190650005,1.57
0.9874048601203433,0.010071373668777715,0.0025237662108789816,5.018761050314575,1.58
0.9869071552441769,0.010468364808256053,0.002624479947566759,5.019498204635023,1.59
0.9863900831758076,0.01088075322854314,0.0027291635956493195,5.0202636578211,1.6
0.9858529126291189,0.01130911624294607,0.002837971127934751,5.021058447371441,1.61
0.9852948865150154,0.011754051194620242,0.0029510622903642114,5.02188364487631,1.62
0.9847152211791956,0.012216176018493674,0.0030686028023104136,5.02274035681322,1.63
0.9841131056300597,0.012696129807444917,0.0031907645624953507,5.023629725332434,1.64
0.9834877007578547,0.013194573381575394,0.0033177258605697996,5.024552929029026,1.65
0.9828381385463335,0.013712189859280962,0.003449671594385553,5.025511183697889,1.66
0.9821635212783405,0.014249685228681041,0.0035867934929783626,5.026505743067747,1.67
0.981462920736929,0.014807788917806004,0.003729290345265173,5.027537899509891,1.68
0.9807353774037828,0.015387254361774141,0.003877368234443233,5.02860898471696,1.69
0.9799798996569312,0.015988859565008014,0.004031240778060974,5.029720370346728,1.7
0.9791954629699434,0.0166134076563453,0.004191129373711054,5.03087346862543,1.71
0.9783810091150342,0.017261727434691346,0.004357263450274508,5.032069732904718,1.72
0.9775354453727401,0.017934673902638393,0.004529880724621421,5.033310658165903,1.73
0.9766576437511123,0.018633128785239827,0.004709227463647805,5.0345977814646234,1.74
0.975746440217624,0.019358001030875698,0.004895558751500203,5.035932682308615,1.75
0.9748006339473128,0.02011022729087826,0.0050891387618089605,5.037316982960703,1.76
