S,I,R,t
0.10891719559777736,0.0002977735109496329,0.874038814906748,11.4
0.10891702651223627,0.0002694625053981026,0.8740670118877709,11.5
0.10891688048512417,0.0002438365182459794,0.8740925276421528,11.6
0.10891675437191566,0.00022064181668209239,0.8741156165099021,11.7
0.1089166454569146,0.00019964851976074328,0.8741365087888491,11.8
0.10891655139477244,0.0001806483735870084,0.8741554129956989,11.9
0.10891647015998195,0.00016345273161722632,0.8741725179160359,12.0
0.10891640000325913,0.00014789072150084558,0.8741879944627718,12.1
0.10891633941387341,0.0001338075815240959,0.8742019973607328,12.2
0.10891628708711555,0.00012106315121329643,0.874214666673497,12.3
0.10891624189620168,0.00010953050202648953,0.8742261291871051,12.4
0.10891620286800924,9.909469531629446e-05,0.8742364996639399,12.5
0.10891616916212185,8.965165589361008e-05,0.8742458819788551,12.6
0.1089161400527318,8.110715056962968e-05,0.8742543701485156,12.7
0.10891611491301059,7.337586201055755e-05,0.8742620492639102,12.8
0.10891609320161119,6.638054911286176e-05,0.8742689963350782,12.9
0.1089160744510105,6.005128590374792e-05,0.8742752810562557,13.0
0.10891605825744209,5.4324771698175756e-05,0.8742809664988874,13.1
0.1089160442722015,4.914370590606107e-05,0.8742861097392619,13.2
0.10891603219413748,4.4456221486754877e-05,0.874290762426901,13.3
0.10891602176316696,4.021537159749289e-05,0.8742949712992617,13.4
0.10891601275467465,3.637866448288204e-05,0.8742987786477971,13.5
0.10891600497467621,3.290764210789277e-05,0.8743022227399467,13.6
0.10891599825564105,2.9767498451163423e-05,0.874305338201202,13.7
0.10891599245288494,2.6926733752284067e-05,0.87430815636101,13.8
0.10891598744145431,2.4356841349404658e-05,0.8743107055659193,13.9
0.10891598311343564,2.203202405501983e-05,0.8743130114630596,14.0
0.10891597937563154,1.9928937300885825e-05,0.8743150972567504,14.1
0.10891597614755408,1.8026456540248633e-05,0.8743169839407808,14.2
0.10891597335969154,1.6305466629220958e-05,0.8743186905086553,14.3
0.1089159709520115,1.4748671121350357e-05,0.8743202341438883,14.4
0.1089159688726683,1.3340419602102842e-05,0.8743216303922354,14.5
0.10891596707688639,1.2066551364907179e-05,0.8743228933175724,14.6
0.10891596552599628,1.0914253889172765e-05,0.8743240356429631,14.7
0.10891596418660202,9.871934724775331e-06,0.8743250688783301,14.8
0.10891596302986174,8.929105518235963e-06,0.8743260034359848,14.9
0.10891596203086693,8.07627703441881e-06,0.8743268487351785,15.0
0.10891596116810556,7.304864135150975e-06,0.8743276132967103,15.1
0.10891596042299947,6.607099773734694e-06,0.8743283048285342,15.2
0.10891595977950401,5.975957152797106e-06,0.8743289303032247,15.3
0.10891595922376236,5.405079273143246e-06,0.8743294960280671,15.4
0.10891595874380755,4.8887151740050116e-06,0.8743300077084801,15.5
0.10891595832930448,4.421662231004929e-06,0.8743304705053966,15.6
0.10891595797132746,3.99921393790799e-06,0.874330889087184,15.7
0.10891595766216797,3.6171126523898548e-06,0.8743312676766162,15.8
0.10891595739516867,3.271506835125052e-06,0.8743316100933743,15.9
0.1089159571645803,2.958912355966841e-06,0.8743319197924971,16.0
0.1089159569654374,2.676177481279904e-06,0.874332199899166,16.1
0.10891595679345172,2.4204511929877293e-06,0.8743324532401772,16.2
0.10891595664491986,2.1891545229618505e-06,0.8743326823724125,16.3
0.10891595651664333,1.979954616331199e-06,0.8743328896085968,16.4
0.10891595640585999,1.7907412644178867e-06,0.8743330770405988,16.5
0.10891595631018422,1.6196056725752334e-06,0.8743332465605105,16.6
0.10891595622755583,1.4648212504545244e-06,0.8743333998797168,16.7
0.1089159561561955,1.3248262323764704e-06,0.8743335385461455,16.8
0.10891595609456665,1.1982079537288839e-06,0.8743336639598701,16.9
0.1089159560413421,1.0836886258327069e-06,0.8743337773872291,17.0
0.10891595599537583,9.80112466676428e-07,0.8743338799735928,17.1
0.10891595595567807,8.864340584612471e-07,0.874333972754915,17.2
0.1089159559213939,8.017078151594142e-07,0.8743340566681803,17.3
0.1089159558917851,7.250784543869167e-07,0.8743341325608562,17.4
0.10891595586621404,6.557723779386029e-07,0.8743342011994429,17.5
0.1089159558441301,5.930898744282534e-07,0.8743342632772052,17.6
