S,I,R,t
0.041120018626799065,0.00025684681784014134,0.9540425018387781,9.6
0.04112001861026934,0.00023239299949652907,0.9540669312198333,9.7
0.041120018597514074,0.00021026737310646463,0.9540890347333525,9.8
0.04112001858767142,0.00019024827733174146,0.9541090338198743,9.9
0.04112001858007622,0.0001721351545472649,0.9541271288371318,10.0
0.041120018574215336,0.0001557465416445309,0.9541435010672831,10.1
0.041120018569692766,0.00014091825211664358,0.954158314533044,10.2
0.04112001856620291,0.0001275017312155928,0.9541717176409151,10.3
0.04112001856350994,0.00011536256770567081,0.9541838446679539,10.4
0.0411200185614319,0.00010437914730517049,0.9541948171070121,10.5
0.041120018559828324,9.444143432755244e-05,0.954204744883881,10.6
0.04112001855859093,8.544986931727314e-05,0.9542137274585646,10.7
0.041120018557636084,7.731437163728124e-05,0.954221854821701,10.8
0.04112001855689926,6.995343701642794e-05,0.9542292083961249,10.9
0.04112001855633069,6.329332101622552e-05,0.9542358618525776,11.0
0.04112001855589195,5.726730023703671e-05,0.9542418818477744,11.1
0.0411200185555534,5.181500386250716e-05,0.9542473286921904,11.2
0.04112001855529216,4.6881808845653447e-05,0.9542522569542731,11.3
0.041120018555090565,4.241829267755105e-05,0.9542567160071265,11.4
0.04112001855493501,3.837973825640509e-05,0.9542607505231481,11.5
0.04112001855481497,3.4725685896714944e-05,0.9542644009215759,11.6
0.041120018554722346,3.141952799048468e-05,0.9542677037734165,11.7
0.04112001855465087,2.8428142259715495e-05,0.9542706921678337,11.8
0.04112001855459571,2.572155992602172e-05,0.9542733960436397,11.9
0.041120018554553155,2.3272665473013778e-05,0.9542758424892404,12.0
0.04112001855452032,2.1056924993588855e-05,0.954278056014013,12.1
0.041120018554495,1.905214040063855e-05,0.9542800587938473,12.2
0.04112001855447542,1.7238227038784745e-05,0.9542818708933155,12.3
0.04112001855446033,1.559701246919237e-05,0.9542835104666856,12.4
0.04112001855444869,1.4112054411622882e-05,0.9542849939397966,12.5
0.04112001855443968,1.2768476019814604e-05,0.9542863361746182,12.6
0.04112001855443275,1.155281683992548e-05,0.954287550618145,12.7
0.04112001855442747,1.0452897958890893e-05,0.9542886494371123,12.8
0.04112001855442326,9.457699991707962e-06,0.954289643639886,12.9
0.04112001855442019,8.557252685281632e-06,0.9542905431867488,13.0
0.041120018554417576,7.74253503284623e-06,0.9542913570896854,13.1
0.04112001855441569,7.00538489827441e-06,0.9542920935026717,13.2
0.04112001855441437,6.338417244858463e-06,0.9542927598033586,13.3
0.04112001855441347,5.734950149351278e-06,0.954293362666988,13.4
0.0411200185544124,5.188937860049788e-06,0.9542939081332666,13.5
0.04112001855441153,4.694910228273118e-06,0.9542944016668724,13.6
0.04112001855441085,4.2479179064384784e-06,0.9542948482122035,13.7
0.04112001855441034,3.8434827637097695e-06,0.9542952522429108,13.8
0.041120018554409936,3.4775530224651295e-06,0.954295617806723,13.9
0.04112001855440963,3.1464626661245805e-06,0.9542959485659898,14.0
0.041120018554409395,2.8468947116708325e-06,0.9542962478343766,14.1
0.04112001855440921,2.575847978914237e-06,0.9542965186100624,14.2
0.04112001855440906,2.330607023584435e-06,0.9542967636057763,14.3
0.04112001855440896,2.1087149330275935e-06,0.9542969852759752,14.4
0.04112001855440887,1.9079487119667735e-06,0.9542971858414305,14.5
0.041120018554408805,1.7262970117310917e-06,0.9542973673114793,14.6
0.041120018554408756,1.5619399798370692e-06,0.9542975315041534,14.7
0.041120018554408715,1.4132310280480113e-06,0.9542976800643969,14.8
0.04112001855440869,1.2786803362572557e-06,0.9542978144805365,14.9
0.041120018554408666,1.1569399269312444e-06,0.9542979360992058,15.0
0.041120018554408645,1.0467901605827868e-06,0.9542980461388224,15.1
0.04112001855440863,9.471275169813042e-07,0.9542981457018029,15.2
0.04112001855440862,8.569535396877842e-07,0.9542982357856067,15.3
0.04112001855440861,7.753648331568175e-07,0.954298317292725,15.4
0.04112001855440861,7.015440121930605e-07,0.9542983910397251,15.5
0.041120018554408604,6.347515130905061e-07,0.9542984577654315,15.6
0.0411200185544086,5.743181844155977e-07,0.9542985181383267,15.7
0.0411200185544086,5.196385832059684e-07,0.9542985727632478,15.8
0.04112001855440859,4.7016490942369884e-07,0.954298622187448,15.9
0.04112001855440859,4.25401517896261e-07,0.9542986669060761,16.0
0.04112001855440859,3.8489995276376876e-07,0.9542987073671401,16.1
0.04112001855440859,3.482544546858516e-07,0.954298743975993,16.2
0.04112001855440858,3.1509789579770926e-07,0.954298777099395,16.3
0.04112001855440858,2.8509810169027126e-07,0.9542988070691883,16.4
0.04112001855440858,2.579545235667306e-07,0.9542988341856231,16.5
0.04112001855440858,2.3339522723590408e-07,0.954298858720361,16.6
0.04112001855440858,2.1117416877707264e-07,0.9542988809191982,16.7
0.04112001855440858,1.9106872958292005e-07,0.954298901004532,16.8
