S,I,R,psi,t
0.7965324977137268,0.10771632430806863,0.09577082406056234,1954.3594647902034,4.6
0.776513148436993,0.11652399185522534,0.1069828504348551,2047.5869734664266,4.7
0.7556159477692489,0.12532784203013608,0.11907638159199098,2129.63501957125,4.8
0.7339603166349455,0.13401448174718558,0.13204538776729358,2199.042293841291,4.9
0.7116783867378607,0.14246924775500008,0.1458724028260912,2254.7361285292054,5.0
0.6889109307760461,0.15058020206052392,0.16052859792406649,2296.0640345961924,5.1
0.6658031229461566,0.15824190623906015,0.1759742458728615,2322.79632269971,5.2
0.6425004076056088,0.16535873158525555,0.19215954149959555,2335.102583490193,5.3
0.6191447130321133,0.1718475243050218,0.209025721947084,2333.507255970512,5.4
0.5958711872266702,0.17763951931531044,0.22650641645423353,2318.830851819298,5.5
0.5728055649530909,0.18268147080591565,0.24452914828887687,2292.1236393545223,5.6
0.5500622097860616,0.18693603292436606,0.26301691169355446,2254.597938931911,5.7
0.5277428191763854,0.19038147372100603,0.2818897526758939,2207.5639610706003,5.8
0.5059357384632881,0.19301083749849937,0.3010662925398371,2152.3726554504606,5.9
0.48471580239306433,0.19483068568419581,0.3204651454505062,2090.367599493759,6.0
0.46414460883780884,0.1958595470620811,0.340006194477207,2022.846716239313,6.1
0.4442711265353542,0.19612619841495044,0.3596117032240128,1951.033659777652,6.2
0.4251325437858015,0.19566788019663517,0.3792072514803096,1876.0580584004767,6.3
0.40675527523263416,0.19452853217501148,0.39872249281548855,1798.9434298897436,6.4
0.38915605666448816,0.1927571137071972,0.41809173951723533,1720.601425504572,6.5
0.3723430713222227,0.19040605426523952,0.437254385769943,1641.8310585877712,6.6
0.35631706419892334,0.18752986312570005,0.4561551836731561,1563.3216745681145,6.7
0.34107241250023446,0.18418391328403821,0.474744388873305,1485.658576054828,6.8
0.32659813040662,0.18042340374455978,0.4929777935179286,1409.3303960737414,6.9
0.31287879444579736,0.1763024961844785,0.5108166642269545,1334.7374915667947,7.0
0.29989538222114115,0.17187361625829095,0.5282276020699868,1262.2007942944424,7.1
0.28762602213109423,0.16718690609340678,0.5451823403641679,1191.9707001539998,7.2
0.2760466552826881,0.16228981242167004,0.5616574946450549,1124.2356981749804,7.3
0.2651316132850432,0.15722679391647618,0.5776342775548552,1059.1305375096629,7.4
0.254854117228723,0.15203913133291588,0.5930981897443935,996.7438066918663,7.5
0.24518670411111074,0.146764824705585,0.6080386962735607,937.1248571509088,7.6
0.23610158742363746,0.14143856292668547,0.6224488964713109,880.2900455072787,7.7
0.2275709587105755,0.13609175233676865,0.6363251938125881,826.2282994753459,7.8
0.21956723675020476,0.13075259238536258,0.6496669711036585,774.9060328795128,7.9
0.21206327068209047,0.12544618786750777,0.6624762751456006,726.2714485941337,8.0
0.20503250297315617,0.12019468865165177,0.6747575140674092,680.2582759937172,8.1
0.19844909762778518,0.11501744914303592,0.6865171696790293,636.7889932353853,8.2
0.19228803853758245,0.10993120094976891,0.6977635264811426,595.777585558,8.3
0.18652520235878833,0.10495023332349526,0.7085064183716694,557.1318896716003,8.4
0.18113740981572113,0.10008657692882332,0.7187569935961952,520.7555719065172,8.5
0.17610245886741796,0.09535018735744198,0.7285274980891556,486.5497845980646,8.6
0.17139914274769472,0.09074912554990457,0.7378310770324782,454.4145415663859,8.7
0.16700725549911566,0.08628973292864875,0.7466815942075972,424.24984977205514,8.8
0.16290758726940907,0.08197679958944858,0.7550934685250879,395.95663046609496,8.9
0.1590819113239723,0.07781372435517162,0.7630815269744328,369.43745952723737,9.0
0.15551296444844293,0.07380266587539863,0.7706608731364202,344.5971532646164,9.1
0.1521844221685608,0.06994468426772851,0.7778467703351661,321.3432228031129,9.2
0.14908086999804343,0.0662398730503658,0.7846545384695208,299.5862172814186,9.3
0.14618777173616493,0.06268748131909271,0.791099463549128,279.2399734833941,9.4
0.14349143567245654,0.059286026282343265,0.7971967189640818,260.22178718504136,9.5
0.14097897941370433,0.056033396392440524,0.8029612975350171,242.45251941903427,9.6
0.13863829392582785,0.05292694540495124,0.8084079534191858,225.85664901881435,9.7
0.13645800727784327,0.049963577766641086,0.8135511529849022,210.3622811852772,9.8
0.13442744848495408,0.0471398257801036,0.8184050338093212,195.9011204008757,9.9
0.13253661177089307,0.04445191902359193,0.8229833710009729,182.40841477844316,10.0
0.13077612150426304,0.04189584652115851,0.827299550097285,169.8228778560295,10.1
0.1291371980083003,0.039467412163675275,0.831366545837129,158.08659291641658,10.2
0.12761162439681456,0.03716228387800302,0.83519690615848,147.14490410405972,10.3
0.1261917145499038,0.03497603703147357,0.8388027408204518,136.9462979177236,10.4
0.12487028231030854,0.03290419254357619,0.8421957140970157,127.44227806026362,10.5
0.12364061195408951,0.030942250157665576,0.8453870410359832,118.58723611544846,10.6
0.12249642996685256,0.029085717303746525,0.8483874868209661,110.33832008444304,10.7
0.12143187813833038,0.0273301339598621,0.8512073688160708,102.65530244177859,10.8
0.12044148797317146,0.0256710938950467,0.8538565609125426,95.50044905370116,10.9
0.11952015640372388,0.024104262651804032,0.8563444998336163,88.83839003315575,11.0
0.11866312278103944,0.022625392601100035,0.8586801930884536,82.63599337865928,11.1
0.11786594711282646,0.02123033537827807,0.8608722282980072,76.86224205317374,11.2
0.11712448951134424,0.019915051984401525,0.8629287836453586,71.48811499872501,11.3
0.11643489080997356,0.01867562081450277,0.8648576392303569,66.48647244855135,11.4
0.11579355430414294,0.017508243852219007,0.8666661891333804,61.83194578717882,11.5
0.11519712857026995,0.016409251249429248,0.8683614540160235,57.50083211672286,11.6
0.11464249131518142,0.01537510448982884,0.8699500941072768,53.47099361203049,11.7
0.11412673420797048,0.0144023983169234,0.8714384224427855,49.72176168556565,11.8
